position,period,model,n,mae,rmse,pearson,weekly_spearman,top1,top3,top5
DST,2024,v42,544,3.9946764087178757,5.039579028969653,0.36249049441220027,0.35431470831745354,11.05555534362793,9.5,9.644444465637207
DST,2024,candidate,544,4.017706459126407,5.0586882309718275,0.35549139410155073,0.345881910877451,10.0,9.44444465637207,9.5
DST,2025,v42,544,4.110143520849162,5.245540274486902,0.31065555672145473,0.31528706129725204,10.166666984558105,9.388888359069824,8.433333396911621
DST,2025,candidate,544,4.118773323314312,5.250680309959329,0.3086960638786076,0.3122455354282161,10.166666984558105,9.296296119689941,8.04444408416748
K,2024,v42,543,3.676076076167665,4.697695643405695,0.17992395194040853,0.2166450729788519,10.055555555555555,9.0,9.266666666666667
K,2024,candidate,543,3.681460246605435,4.6994554226409715,0.1793514244019604,0.21211372293671887,8.666666666666666,8.722222222222221,9.011111111111113
K,2025,v42,543,3.6554882678786806,4.563702118948418,0.25427758992948063,0.21973445334741729,11.666666666666666,11.444444444444445,10.488888888888887
K,2025,candidate,543,3.665318268848393,4.570680796095033,0.2516738736880268,0.21348407617809592,11.38888888888889,11.777777777777779,10.711111111111112
DST,2024-2025,v42,1088,4.052409964783519,5.143590650532701,0.33338536521749773,0.33480088480735287,10.61111068725586,9.44444465637207,9.03888988494873
DST,2024-2025,candidate,1088,4.068239891220359,5.155578063397328,0.3288906542023022,0.3290637231528335,10.083333015441895,9.370370864868164,8.772222518920898
K,2024-2025,v42,1086,3.665782172023173,4.631183509026992,0.21793327267089055,0.2181897631631346,10.86111068725586,10.222223281860352,9.877778053283691
K,2024-2025,candidate,1086,3.673389257726914,4.6355153008690175,0.21635884926327098,0.21279889955740736,10.027777671813965,10.250000953674316,9.86111068725586
