season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2023,QB,1,1,4,Anthony Richardson,IND,1,,16.565322806629435,98.29545454545455,,6.94235294117647,1.0,0.0,0.2659079014128054
2024,QB,1,2,8,Caleb Williams,CHI,1,1.0,16.40469630796272,97.72727272727273,0.5974246263504028,,1.0,0.0,2.7169349456251477
2024,QB,2,3,9,Jayden Daniels,WAS,1,2.0,16.174775694825883,97.72727272727273,0.6774269342422485,,1.0,0.0,1.360117123778097
2026,QB,1,4,10,Fernando Mendoza,LVR,1,1.0,16.078387867038995,97.72727272727273,0.4858231842517853,,1.0,0.0,1.1205299999117333
2023,QB,2,5,12,C.J. Stroud,HOU,1,,15.948952835543665,97.1590909090909,,14.599999999999998,1.0,0.0,0.6654628311722607
2023,QB,3,6,19,Bryce Young,CAR,1,,15.887818340371188,96.02272727272727,,12.148823529411766,1.0,0.0,2.748742420624133
2024,QB,4,7,24,Drake Maye,NE,1,3.0,14.598286413481137,92.61363636363636,0.5738378763198853,,1.0,0.0,0.9920061302481332
2024,QB,3,8,25,Bo Nix,DEN,1,12.0,15.040626347755751,92.61363636363636,0.6140146255493164,,1.0,0.0,-0.9600239787776116
2024,QB,5,9,27,Michael Penix,ATL,1,8.0,14.556562619712398,92.04545454545455,0.4035809636116028,,1.0,0.0,0.7180443032740018
2026,QB,2,10,31,Ty Simpson,LAR,1,13.0,13.029138068869283,89.20454545454545,0.4321836233139038,,1.0,0.0,-0.5703349192736467
2024,QB,6,11,36,J.J. McCarthy,MIN,1,10.0,11.994421752973782,86.93181818181817,0.43596652150154114,,1.0,0.0,-0.2300097953155688
2023,QB,4,12,42,Will Levis,TEN,2,,11.430089599371223,84.0909090909091,,6.528235294117646,1.0,0.0,0.5136244552692149
2026,QB,3,13,62,Carson Beck,ARI,3,65.0,6.628983107822465,73.29545454545455,0.05893855169415474,,1.0,0.0,0.560031103215251
2023,QB,5,14,66,Hendon Hooker,DET,3,,5.465732215754702,71.5909090909091,,0.0788235294117647,1.0,0.0,0.5276707060462984
2026,QB,4,15,87,Drew Allar,PIT,3,76.0,3.7983204807937145,63.06818181818182,0.10031462460756302,,1.0,0.0,-1.5814536457282171
2024,QB,7,16,92,Jordan Travis,NYJ,5,171.0,3.480177562025485,61.93181818181818,0.11272508651018143,,1.0,0.0,-2.8573803156301008
2026,QB,5,17,107,Cade Klubnik,NYJ,4,110.0,2.431670815460159,54.54545454545454,0.12236779183149338,,1.0,0.0,-1.1513317268250476
2026,QB,6,18,118,Garrett Nussmeier,KAN,7,249.0,2.171524319637929,49.43181818181818,0.05133340507745743,,1.0,0.0,-2.119475924087126
2024,QB,8,19,123,Joe Milton,NE,6,193.0,2.114314822374386,47.159090909090914,0.07961168885231018,,1.0,0.0,-2.8612802608292918
2026,QB,7,20,135,Taylen Green,CLE,6,182.0,1.8476005965705267,39.77272727272727,0.11004911363124847,,1.0,0.0,-3.3203944968420216
2026,QB,8,21,141,Athan Kaliakmanis,WAS,7,223.0,1.4676418715811959,34.090909090909086,0.06351283192634583,,1.0,0.0,-1.0476512405177312
2024,QB,9,22,147,Spencer Rattler,NO,5,150.0,1.353263235588014,31.25,0.06359916180372238,,1.0,0.0,-0.2384020400557052
2026,QB,9,23,157,Cole Payton,PHI,5,178.0,1.1618229532545394,25.568181818181817,0.05005872994661331,,0.0,0.0,-0.5561570427679161
2024,QB,10,24,164,Michael Pratt,GB,7,245.0,0.9682438975819151,18.75,0.08428088575601578,,1.0,0.0,-1.3259556242747568
2026,QB,10,25,183,Behren Morton,NWE,7,234.0,0.6617588760309832,5.113636363636364,0.0464363731443882,,1.0,0.0,-0.9050613604798086
2024,QB,11,26,191,Devin Leary,BAL,6,218.0,0.34931767712733003,0.5681818181818182,0.02855914831161499,,1.0,0.0,0.3532923222664754
