season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2026,RB,1,1,1,Jeremiyah Love,ARI,1,3.0,16.055744652459907,100.0,0.5895364880561829,,1.0,0.0,1.9894954158977287
2023,RB,1,2,3,Bijan Robinson,ATL,1,,14.165526669413053,99.46380697050938,,20.95588235294117,1.0,0.0,1.496075117199562
2023,RB,2,3,5,Jahmyr Gibbs,DET,1,,12.7112865553686,98.12332439678283,,21.46470588235294,1.0,0.0,1.6585811310343537
2026,RB,2,4,14,Jadarian Price,SEA,1,32.0,12.184896460151638,96.7828418230563,0.25518521666526794,,1.0,0.0,1.6667279389341831
2024,RB,1,5,30,Trey Benson,ARI,3,66.0,9.41460714571137,90.0804289544236,0.22229503095149994,,1.0,0.0,0.3827385952215314
2023,RB,3,6,33,Zach Charbonnet,SEA,2,,8.886170077439033,87.93565683646113,,10.83235294117647,1.0,0.0,0.2083172711895655
2024,RB,2,7,39,Jonathon Brooks,CAR,2,46.0,8.521358818652926,85.79088471849866,0.4660419523715973,,1.0,0.0,0.7592914919855112
2023,RB,4,8,43,Devon Achane,MIA,3,,8.201516274430496,83.91420911528151,,18.314705882352943,1.0,0.0,-0.3259039759360238
2024,RB,3,9,45,Blake Corum,LA,3,83.0,7.710738968346922,81.76943699731903,0.21144652366638184,,1.0,0.0,-0.2302093834070833
2023,RB,5,10,46,Tank Bigsby,JAX,3,,7.659102548314932,81.23324396782841,,5.376470588235294,1.0,0.0,0.3312650832248769
2024,RB,4,11,49,MarShawn Lloyd,GB,3,88.0,7.578291900634623,80.42895442359249,0.14509552717208862,,1.0,0.0,-0.1741100019557544
2023,RB,6,12,52,Tyjae Spears,TEN,3,,7.448076824459596,79.89276139410187,,7.86470588235294,1.0,0.0,0.1018948938741024
2023,RB,7,13,61,Kendre Miller,NO,3,,6.782207011235595,73.45844504021449,,2.252941176470588,1.0,0.0,-0.8668113865949927
2026,RB,3,14,64,Kaelon Black,SFO,3,90.0,6.409410417692221,71.84986595174263,0.13368530571460724,,1.0,0.0,0.7220071743254151
2024,RB,5,15,69,Bucky Irving,TB,4,125.0,6.160161932999548,70.24128686327077,0.15201619267463684,,1.0,0.0,-0.2471507289280916
2024,RB,6,16,70,Jaylen Wright,MIA,4,120.0,6.106890675658471,69.97319034852548,0.13165082037448883,,1.0,0.0,-0.0140535334895668
2024,RB,7,17,94,Audric Estime,DEN,5,147.0,4.879880696045345,61.3941018766756,0.05496812239289284,,1.0,0.0,-1.2602133523451609
2026,RB,4,18,98,Eli Heidenreich,PIT,7,230.0,4.766462086744459,59.78552278820375,0.13900887966156006,,1.0,0.0,-1.3226058404888272
2026,RB,5,19,99,Mike Washington Jr.,LVR,4,122.0,4.532991907294855,57.37265415549599,0.028827263042330742,,1.0,0.0,0.3217745368479052
2024,RB,8,20,101,Ray Davis,BUF,4,128.0,4.518375475292728,57.10455764075068,0.04785824939608574,,1.0,0.0,0.1709149358143777
2024,RB,9,21,110,Will Shipley,PHI,4,127.0,4.1171946544940745,51.742627345844504,0.09186752885580063,,1.0,0.0,-0.0486797213937935
2026,RB,6,22,111,Jonah Coleman,DEN,4,108.0,4.114206373471666,51.742627345844504,0.10332628339529037,,1.0,0.0,0.0428165365164954
2024,RB,10,23,121,Isaac Guerendo,SF,4,129.0,3.958311184968224,48.525469168900806,0.03408043831586838,,1.0,0.0,-0.0514564251950044
2024,RB,11,24,122,Braelon Allen,NYJ,4,134.0,3.945763695395299,48.257372654155496,0.05499682575464249,,1.0,0.0,-0.969609880002828
