season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2023,TE,1,1,2,Dalton Kincaid,BUF,1,,8.979800113502854,99.56896551724138,,8.129411764705882,1.0,0.0,1.5556152976565645
2023,TE,2,2,15,Michael Mayer,LV,2,,8.441851371520048,96.55172413793103,,4.270588235294118,1.0,0.0,0.4738305075070061
2024,TE,1,3,17,Brock Bowers,LV,1,13.0,8.375988362178202,96.12068965517241,0.3451785445213318,,1.0,0.0,1.6202011239552498
2026,TE,1,4,18,Kenyon Sadiq,NYJ,1,16.0,8.22883863853933,96.12068965517241,0.3663089871406555,,1.0,0.0,1.65484433274657
2023,TE,3,5,21,Sam LaPorta,DET,2,,7.822817433644204,94.82758620689656,,12.173529411764706,1.0,0.0,0.7605814934721122
2023,TE,4,6,26,Luke Musgrave,GB,2,,7.499902827137261,92.24137931034483,,3.6588235294117646,1.0,0.0,0.4398288904396001
2026,TE,2,7,37,Eli Stowers,PHI,2,54.0,6.314184573853434,86.63793103448276,0.37128734588623047,,1.0,0.0,0.22123326052251
2024,TE,2,8,40,Ben Sinnott,WAS,2,53.0,6.188396042422799,85.77586206896551,0.4785485565662384,,1.0,0.0,-0.5344976868275961
2026,TE,3,9,44,Max Klare,LAR,2,61.0,5.466731235400921,82.75862068965517,0.31992635130882263,,1.0,0.0,0.8305108951952169
2023,TE,5,10,60,Tucker Kraft,GB,3,,4.538407277540969,75.0,,8.25,0.0,0.0,0.4737116926693341
2023,TE,6,11,63,Luke Schoonmaker,DAL,2,,4.342133302329091,71.98275862068965,,2.4794117647058824,1.0,0.0,1.0030828288300375
2023,TE,7,12,67,Cameron Latu,SF,3,,4.312117937749399,71.55172413793103,,0.0,1.0,0.0,0.0785212726984383
2026,TE,4,13,68,Marlin Klein,HOU,2,59.0,4.295241791700364,71.12068965517241,0.21587920188903809,,1.0,0.0,0.526454058939323
2023,TE,8,14,71,Brenton Strange,JAX,2,,4.251381938034541,69.82758620689656,,6.15,1.0,0.0,1.144190532844476
2026,TE,5,15,74,Tanner Koziol,JAX,5,164.0,4.117402183331957,68.53448275862068,0.09543832391500473,,1.0,0.0,-1.199730376059088
2026,TE,6,16,75,Sam Roush,CHI,3,69.0,4.044895445670111,68.10344827586206,0.4164258539676666,,1.0,0.0,0.030760931185469
2024,TE,3,17,76,Tip Reiman,ARI,3,82.0,4.0212208049898255,67.67241379310344,0.18938125669956207,,1.0,0.0,0.5335662884905936
2026,TE,7,18,77,Eli Raridon,NWE,3,95.0,4.018446792915301,67.67241379310344,0.16023512184619904,,1.0,0.0,0.1226880690624225
