season,position,position_year_rank,position_2023_2026_rank,overall_2023_2026_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2023,WR,1,1,6,Jordan Addison,,,,12.117726965286108,98.09523809523809,,12.758823529411766,,,
2026,WR,1,2,14,Carnell Tate,TEN,1.0,4.0,10.396023701730696,94.0952380952381,0.5679136514663696,0.0,1.0,0.0,2.4313149037892225
2026,WR,2,3,15,Makai Lemon,PHI,1.0,20.0,10.264735414915965,93.33333333333333,0.5795919895172119,0.0,1.0,0.0,0.9161786334048196
2026,WR,3,4,17,KC Concepcion,CLE,1.0,24.0,9.917473993347347,91.80952380952381,0.6734994053840637,0.0,1.0,0.0,1.064641962652487
2023,WR,2,5,18,Zay Flowers,,,,9.839565963635454,91.61904761904762,,13.31764705882353,,,
2023,WR,3,6,20,Jaxon Smith-Njigba,,,,9.058353419617845,88.0,,18.02647058823529,,,
2023,WR,4,7,22,Josh Downs,,,,9.000027548019204,87.80952380952381,,10.01764705882353,,,
2023,WR,5,8,23,Quentin Johnston,,,,8.896019459783911,87.42857142857143,,10.173529411764708,,,
2026,WR,4,9,25,Denzel Boston,CLE,2.0,39.0,8.742896696928765,86.28571428571429,0.40082594752311707,0.0,1.0,0.0,0.7029098576219042
2023,WR,6,10,30,Rashee Rice,,,,7.913562529511806,81.14285714285714,,10.66470588235294,,,
2023,WR,7,11,31,Jonathan Mingo,,,,7.827985053271312,80.57142857142857,,3.441176470588236,,,
2023,WR,8,12,32,Marvin Mims Jr.,,,,7.792127237269915,80.38095238095238,,6.602941176470589,,,
2026,WR,5,13,34,De'Zhaun Stribling,SFO,2.0,33.0,7.555284829556821,78.85714285714286,0.14852121472358704,0.0,1.0,0.0,1.8199351454025403
2023,WR,9,14,35,Nathaniel Dell,,,,7.391597511129447,77.90476190476191,,8.970588235294116,,,
2026,WR,6,15,36,Jordyn Tyson,NOR,1.0,8.0,7.351202510004004,77.71428571428571,0.2917986512184143,0.0,1.0,0.0,2.1556648854031937
2023,WR,10,16,37,Jayden Reed,,,,6.877318463135248,75.04761904761905,,12.182352941176472,,,
2026,WR,7,17,47,Omar Cooper Jr.,NYJ,1.0,30.0,5.960267758103249,69.14285714285714,0.06986859440803528,0.0,1.0,0.0,0.3417855919870716
2026,WR,8,18,51,Germie Bernard,PIT,2.0,47.0,5.660352908288315,66.85714285714286,0.07231198251247406,0.0,1.0,0.0,0.44392548001679
2026,WR,10,19,52,Malachi Fields,NYG,3.0,74.0,5.4003923165516206,64.95238095238095,0.06017651408910751,0.0,1.0,0.0,0.1342940741976583
2026,WR,9,20,53,Elijah Sarratt,BAL,4.0,115.0,5.434221705682271,64.95238095238095,0.146666020154953,0.0,1.0,0.0,-1.6321828396915623
2023,WR,11,21,54,Cedric Tillman,,,,5.309841765664598,64.0,,4.129411764705882,,,
2026,WR,11,22,56,Antonio Williams,WAS,3.0,71.0,5.087450011129453,62.476190476190474,0.09239408373832703,0.0,1.0,0.0,0.4831385364879299
2026,WR,12,23,57,Caleb Douglas,MIA,3.0,75.0,4.990803552546018,62.095238095238095,0.06028268113732338,0.0,1.0,0.0,-0.0462108524026243
2026,WR,13,24,59,Ted Hurst,TAM,3.0,84.0,4.924652876150458,61.523809523809526,0.22577476501464844,0.0,1.0,0.0,0.7126772734525373
2026,WR,14,25,60,Chris Bell,MIA,3.0,94.0,4.660868620406492,59.80952380952381,0.09311939775943756,0.0,1.0,0.0,-0.5265480721744158
2026,WR,15,26,64,Brenen Thompson,LAC,4.0,105.0,4.136126222989199,56.38095238095238,0.03041176125407219,0.0,1.0,0.0,-0.2158707821414269
2026,WR,16,27,65,Chris Brazzell II,CAR,3.0,83.0,4.119425413400209,56.19047619047619,0.1873580813407898,0.0,1.0,0.0,0.0278125984344068
2023,WR,12,28,67,Jalin Hyatt,,,,4.0752542624549815,55.80952380952381,,2.191176470588235,,,
2026,WR,17,29,68,Ja'Kobi Lane,BAL,3.0,80.0,3.99235551770708,55.42857142857143,0.062368351966142654,0.0,1.0,0.0,-0.0172370930348382
2026,WR,18,30,70,Zachariah Branch,ATL,3.0,79.0,3.7836753223789485,52.19047619047619,0.08371776342391968,0.0,1.0,0.0,-0.475709279790637
2026,WR,19,31,72,Reggie Virgil,ARI,5.0,143.0,3.6164644365246073,50.857142857142854,0.025214891880750656,0.0,1.0,0.0,-0.1653648159069014
2023,WR,13,32,78,Michael Wilson,,,,3.2334131855242094,43.42857142857143,,10.15,,,
2026,WR,20,33,79,Kendrick Law,DET,5.0,168.0,3.1763659176170465,42.857142857142854,0.017434176057577133,0.0,1.0,0.0,-0.1726893166040595
2026,WR,21,34,81,Bryce Lance,NOR,4.0,136.0,3.0266134433773497,40.76190476190476,0.028879662975668907,0.0,0.0,0.0,0.0640678415233724
2026,WR,22,35,83,Emmanuel Henderson Jr.,SEA,6.0,199.0,2.978181425320128,40.38095238095238,0.022592859342694283,0.0,1.0,0.0,-0.7190690614345652
2026,WR,23,36,84,Kevin Coleman Jr.,MIA,5.0,177.0,2.955727631677674,39.80952380952381,0.049215834587812424,0.0,1.0,0.0,-0.6732539082216791
2026,WR,24,37,86,Kaden Wetjen,PIT,4.0,121.0,2.8633279101640676,38.095238095238095,0.019906414672732353,0.0,1.0,0.0,-0.7092706813543943
2026,WR,25,38,88,Skyler Bell,BUF,4.0,125.0,2.7760190681272534,35.80952380952381,0.018285328522324562,0.0,1.0,0.0,-0.7622288549497824
2026,WR,26,39,93,Zavion Thomas,CHI,3.0,89.0,2.509102265906362,31.428571428571427,0.09007555991411209,0.0,1.0,0.0,0.0602638314048622
2026,WR,27,40,96,Cyrus Allen,KAN,5.0,176.0,2.215292807706417,26.857142857142858,0.026656854897737503,0.0,1.0,0.0,-0.4407430133115673
2026,WR,28,41,97,Colbie Young,CIN,4.0,140.0,2.1208277613545428,25.71428571428571,0.04299013689160347,0.0,1.0,0.0,0.8763541990263155
2026,WR,29,42,99,Barion Brown,NOR,6.0,190.0,2.0607128615196078,24.38095238095238,0.04491123929619789,0.0,1.0,0.0,-0.5498668034679923
2023,WR,14,43,100,Tre Tucker,,,,2.013212523259304,23.61904761904762,,8.558823529411764,,,
2026,WR,30,44,104,Josh Cameron,JAX,6.0,191.0,1.494856783338335,14.857142857142858,0.03078557178378105,0.0,1.0,0.0,-0.5644455116615248
2026,WR,31,45,105,Lewis Bond,HOU,6.0,204.0,1.449890933248299,13.904761904761905,0.03180822730064392,0.0,1.0,0.0,0.6540563257510579
2026,WR,32,46,106,CJ Williams,JAX,6.0,203.0,1.3443847534013604,11.047619047619047,0.01798437349498272,0.0,1.0,0.0,0.0785390544903936
2026,WR,33,47,107,Anthony Smith,DAL,7.0,218.0,1.3357829581415894,11.047619047619047,0.018219776451587677,0.0,1.0,0.0,-0.119894095792012
2026,WR,34,48,109,Deion Burks,IND,7.0,254.0,1.315204961484594,10.095238095238095,0.01815544068813324,0.0,1.0,0.0,-0.0554507865678362
2026,WR,35,49,110,Malik Benson,LVR,6.0,195.0,1.2748039149826593,8.571428571428571,0.026200497522950172,0.0,1.0,0.0,-0.1747323631227724
2026,WR,36,50,114,CJ Daniels,LAR,6.0,197.0,1.144071504976991,4.571428571428571,0.03694013133645058,0.0,1.0,0.0,-0.6986523478991673
