season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2023,QB,1,1,7,Anthony Richardson,IND,1,,16.565322806629435,98.29545454545455,,6.94235294117647,1.0,0.0,0.2659079014128054
2024,QB,1,2,11,Caleb Williams,CHI,1,1,16.40469630796272,97.72727272727273,0.5974246263504028,,1.0,0.0,2.7169349456251477
2024,QB,2,3,11,Jayden Daniels,WAS,1,2,16.174775694825883,97.72727272727273,0.6774269342422485,,1.0,0.0,1.360117123778097
2026,QB,1,4,11,Fernando Mendoza,LVR,1,1,16.078387867038995,97.72727272727273,0.4858231842517853,,1.0,0.0,1.1205299999117333
2023,QB,2,5,15,C.J. Stroud,HOU,1,,15.948952835543665,97.1590909090909,,14.599999999999998,1.0,0.0,0.6654628311722607
2023,QB,3,6,24,Bryce Young,CAR,1,,15.887818340371188,96.02272727272727,,12.148823529411766,1.0,0.0,2.748742420624133
2025,QB,1,7,30,Cam Ward,TEN,1,1,15.227762262709263,93.75,0.52110535,,1.0,0.0,3.784806795167566
2024,QB,3,8,34,Bo Nix,DEN,1,12,15.040626347755751,92.61363636363636,0.6140146255493164,,1.0,0.0,-0.9600239787776116
2024,QB,4,9,34,Drake Maye,NE,1,3,14.598286413481137,92.61363636363636,0.5738378763198853,,1.0,0.0,0.9920061302481332
2024,QB,5,10,37,Michael Penix,ATL,1,8,14.556562619712398,92.04545454545455,0.4035809636116028,,1.0,0.0,0.7180443032740018
2026,QB,2,11,43,Ty Simpson,LAR,1,13,13.029138068869283,89.20454545454545,0.4321836233139038,,1.0,0.0,-0.5703349192736467
2024,QB,6,12,48,J.J. McCarthy,MIN,1,10,11.994421752973782,86.93181818181817,0.43596652150154114,,1.0,0.0,-0.2300097953155688
2023,QB,4,13,58,Will Levis,TEN,2,,11.430089599371223,84.0909090909091,,6.528235294117646,1.0,0.0,0.5136244552692149
2025,QB,2,14,81,Jaxson Dart,NYG,1,25,8.875396862416672,75.0,0.30108956,,1.0,0.0,0.4868705188111764
2025,QB,3,15,84,Tyler Shough,NOR,2,40,7.426820357715169,73.29545454545455,0.17978016,,1.0,0.0,1.6028843947884872
2026,QB,3,16,84,Carson Beck,ARI,3,65,6.628983107822465,73.29545454545455,0.05893855169415474,,1.0,0.0,0.560031103215251
2025,QB,4,17,90,Jalen Milroe,SEA,3,92,5.586481452746393,71.5909090909091,0.105208516,,1.0,0.0,0.35030415919759417
2023,QB,5,18,90,Hendon Hooker,DET,3,,5.465732215754702,71.5909090909091,,0.0788235294117647,1.0,0.0,0.5276707060462984
2025,QB,5,19,95,Dillon Gabriel,CLE,3,94,5.3319677837805495,70.45454545454545,0.13468665,,1.0,0.0,1.1195932703603804
2025,QB,6,20,99,Graham Mertz,HOU,6,197,5.095014334308552,69.88636363636364,0.08416292,,1.0,0.0,-0.5484382243500141
2025,QB,7,21,114,Shedeur Sanders,CLE,5,144,4.137089950320523,65.3409090909091,0.047151636,,1.0,0.0,-0.6698462077922933
2026,QB,4,22,122,Drew Allar,PIT,3,76,3.7983204807937145,63.06818181818182,0.10031462460756302,,1.0,0.0,-1.5814536457282171
2025,QB,8,23,124,Will Howard,PIT,6,185,3.621076788181328,62.5,0.09292024,,1.0,0.0,-1.5216313216879263
2024,QB,7,24,128,Jordan Travis,NYJ,5,171,3.480177562025485,61.93181818181818,0.11272508651018143,,1.0,0.0,-2.8573803156301008
2026,QB,5,25,151,Cade Klubnik,NYJ,4,110,2.431670815460159,54.54545454545454,0.12236779183149338,,1.0,0.0,-1.1513317268250476
2026,QB,6,26,163,Garrett Nussmeier,KAN,7,249,2.171524319637929,49.43181818181818,0.05133340507745743,,1.0,0.0,-2.119475924087126
2024,QB,8,27,172,Joe Milton,NE,6,193,2.114314822374386,47.159090909090914,0.07961168885231018,,1.0,0.0,-2.8612802608292918
2026,QB,7,28,190,Taylen Green,CLE,6,182,1.8476005965705267,39.77272727272727,0.11004911363124847,,1.0,0.0,-3.3203944968420216
2025,QB,9,29,190,Kyle McCord,PHI,6,181,1.8162904771421382,39.77272727272727,0.066406325,,1.0,0.0,-1.987658930698399
2026,QB,8,30,197,Athan Kaliakmanis,WAS,7,223,1.4676418715811959,34.090909090909086,0.06351283192634583,,1.0,0.0,-1.0476512405177312
2024,QB,9,31,203,Spencer Rattler,NO,5,150,1.353263235588014,31.25,0.06359916180372238,,1.0,0.0,-0.2384020400557052
