season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2026,RB,1,1,1,Jeremiyah Love,ARI,1,3,16.055744652459907,100.0,0.5895364880561829,,1.0,0.0,1.9894954158977287
2025,RB,1,2,3,Ashton Jeanty,LVR,1,6,14.198655685607905,99.46380697050938,0.7356364,,1.0,0.0,2.2936335174334865
2023,RB,1,3,3,Bijan Robinson,ATL,1,,14.165526669413053,99.46380697050938,,20.95588235294117,1.0,0.0,1.496075117199562
2023,RB,2,4,8,Jahmyr Gibbs,DET,1,,12.7112865553686,98.12332439678283,,21.46470588235294,1.0,0.0,1.6585811310343537
2025,RB,2,5,17,Omarion Hampton,LAC,1,22,12.398800841844217,97.05093833780161,0.7055811,,1.0,0.0,1.130934696412588
2026,RB,2,6,18,Jadarian Price,SEA,1,32,12.184896460151638,96.7828418230563,0.25518521666526794,,1.0,0.0,1.6667279389341831
2025,RB,3,7,29,TreVeyon Henderson,NWE,2,38,10.741024693335724,93.8337801608579,0.5690015,,1.0,0.0,0.5359898618726842
2025,RB,4,8,33,Quinshon Judkins,CLE,2,36,10.670418180891922,93.02949061662198,0.5432904,,1.0,0.0,1.5660167647458625
2025,RB,5,9,41,RJ Harvey,DEN,2,60,9.686323408312216,90.61662198391421,0.39632985,,1.0,0.0,1.028227820167305
2024,RB,1,10,42,Trey Benson,ARI,3,66,9.41460714571137,90.0804289544236,0.22229503095149994,,1.0,0.0,0.3827385952215314
2023,RB,3,11,45,Zach Charbonnet,SEA,2,,8.886170077439033,87.93565683646113,,10.83235294117647,1.0,0.0,0.2083172711895655
2024,RB,2,12,53,Jonathon Brooks,CAR,2,46,8.521358818652926,85.79088471849866,0.4660419523715973,,1.0,0.0,0.7592914919855112
2023,RB,4,13,59,Devon Achane,MIA,3,,8.201516274430496,83.91420911528151,,18.314705882352943,1.0,0.0,-0.3259039759360238
2024,RB,3,14,61,Blake Corum,LA,3,83,7.710738968346922,81.76943699731903,0.21144652366638184,,1.0,0.0,-0.2302093834070833
2023,RB,5,15,63,Tank Bigsby,JAX,3,,7.659102548314932,81.23324396782841,,5.376470588235294,1.0,0.0,0.3312650832248769
2025,RB,6,16,66,Kaleb Johnson,PIT,3,83,7.582721819695914,80.42895442359249,0.22359931,,1.0,0.0,-0.9181919488455144
2024,RB,4,17,66,MarShawn Lloyd,GB,3,88,7.578291900634623,80.42895442359249,0.14509552717208862,,1.0,0.0,-0.1741100019557544
2023,RB,6,18,70,Tyjae Spears,TEN,3,,7.448076824459596,79.89276139410187,,7.86470588235294,1.0,0.0,0.1018948938741024
2023,RB,7,19,83,Kendre Miller,NO,3,,6.782207011235595,73.45844504021449,,2.252941176470588,1.0,0.0,-0.8668113865949927
