season,position,position_year_rank,position_2023_2026_rank,overall_percentile_rank_2023_2026,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,primary_ppg_realized,college_match,fuzzy_match,scout_boost
2025,WR,1,1,5,Travis Hunter,JAX,1,2,12.825028477390955,98.85714285714286,0.76975596,,1.0,0.0,4.031335830474905
2024,WR,1,2,9,Marvin Harrison,ARI,1,4,12.193560551970773,98.09523809523809,0.6488704085350037,,1.0,0.0,2.593022067194441
2023,WR,1,3,9,Jordan Addison,MIN,1,,12.117726965286108,98.09523809523809,,12.758823529411766,1.0,0.0,0.6811239765422146
2024,WR,2,4,14,Malik Nabers,NYG,1,6,11.790733660964381,97.52380952380952,0.6569235920906067,,1.0,0.0,1.939899070500644
2024,WR,3,5,16,Xavier Worthy,KC,1,28,11.679776757202887,97.14285714285714,0.6484211683273315,,1.0,0.0,0.5579443975644058
2024,WR,4,6,20,Rome Odunze,CHI,1,9,11.18907840511204,96.38095238095238,0.472349613904953,,1.0,0.0,1.3251522553616577
2024,WR,5,7,25,Brian Thomas,JAX,1,23,10.900237761354552,94.85714285714286,0.712899923324585,,1.0,0.0,0.8972985867004075
2025,WR,2,8,27,Tetairoa McMillan,CAR,1,8,10.694696256252493,94.47619047619048,0.4653468,,1.0,0.0,2.1998468768364385
2026,WR,1,9,28,Carnell Tate,TEN,1,4,10.396023701730696,94.0952380952381,0.5679136514663696,,1.0,0.0,2.4313149037892225
2026,WR,2,10,31,Makai Lemon,PHI,1,20,10.264735414915965,93.33333333333333,0.5795919895172119,,1.0,0.0,0.9161786334048196
2025,WR,3,11,31,Matthew Golden,GNB,1,23,10.21923117496999,93.33333333333333,0.25322956,,1.0,0.0,1.6807427637769772
2026,WR,3,12,38,KC Concepcion,CLE,1,24,9.917473993347347,91.80952380952381,0.6734994053840637,,1.0,0.0,1.064641962652487
2023,WR,2,13,39,Zay Flowers,BAL,1,,9.839565963635454,91.61904761904762,,13.31764705882353,1.0,0.0,1.3073636904837729
2023,WR,3,14,44,Jaxon Smith-Njigba,SEA,1,,9.058353419617845,88.0,,18.02647058823529,1.0,0.0,0.71875294327999
2023,WR,4,15,46,Josh Downs,IND,3,,9.000027548019204,87.80952380952381,,10.01764705882353,1.0,0.0,-0.1375388009025009
2023,WR,5,16,47,Quentin Johnston,LAC,1,,8.896019459783911,87.42857142857143,,10.173529411764708,1.0,0.0,0.937509325002297
2025,WR,4,17,50,Luther Burden,CHI,2,39,8.805465106542622,86.28571428571429,0.370927,,1.0,0.0,0.8008755013322002
2026,WR,4,18,50,Denzel Boston,CLE,2,39,8.742896696928765,86.28571428571429,0.40082594752311707,,1.0,0.0,0.7029098576219042
2025,WR,5,19,52,Emeka Egbuka,TAM,1,19,8.721990136054428,85.90476190476191,0.30163196,,1.0,0.0,0.8971377585184235
2024,WR,6,20,57,Xavier Legette,CAR,1,32,8.436081699929977,84.57142857142857,0.10673686116933823,,1.0,0.0,0.796750176268771
2025,WR,6,21,62,Tre Harris,LAC,2,55,7.941531991046424,81.33333333333333,0.30315188,,1.0,0.0,0.5780460483855494
2023,WR,6,22,64,Rashee Rice,KC,2,,7.913562529511806,81.14285714285714,,10.66470588235294,1.0,0.0,0.4584911403578999
2023,WR,7,23,65,Jonathan Mingo,CAR,2,,7.827985053271312,80.57142857142857,,3.441176470588236,1.0,0.0,1.0041486085650595
2024,WR,7,24,68,Ladd McConkey,LAC,2,34,7.80800847989196,80.38095238095238,0.16273362934589386,,1.0,0.0,0.5881557708516469
