season,position,position_year_rank,pfr_name,draft_team,draft_round,draft_pick,prospect_model_score,prospect_model_percentile,hit_probability,college_match,fuzzy_match,scout_boost
2025,QB,1,Cam Ward,TEN,1,1,15.227762262709263,93.75,0.52110535,1.0,0.0,3.784806795167566
2025,QB,2,Jaxson Dart,NYG,1,25,8.875396862416672,75.0,0.30108956,1.0,0.0,0.4868705188111764
2025,QB,3,Tyler Shough,NOR,2,40,7.426820357715169,73.29545454545455,0.17978016,1.0,0.0,1.6028843947884872
2025,QB,4,Jalen Milroe,SEA,3,92,5.586481452746393,71.5909090909091,0.105208516,1.0,0.0,0.35030415919759417
2025,QB,5,Dillon Gabriel,CLE,3,94,5.3319677837805495,70.45454545454545,0.13468665,1.0,0.0,1.1195932703603804
2025,QB,6,Graham Mertz,HOU,6,197,5.095014334308552,69.88636363636364,0.08416292,1.0,0.0,-0.5484382243500141
2025,QB,7,Shedeur Sanders,CLE,5,144,4.137089950320523,65.3409090909091,0.047151636,1.0,0.0,-0.6698462077922933
2025,QB,8,Will Howard,PIT,6,185,3.621076788181328,62.5,0.09292024,1.0,0.0,-1.5216313216879263
2025,QB,9,Kyle McCord,PHI,6,181,1.8162904771421382,39.77272727272727,0.066406325,1.0,0.0,-1.987658930698399
2025,QB,10,Tommy Mellott,LVR,6,213,1.285163491141489,29.545454545454547,0.05005873,0.0,0.0,-0.126956107632056
2025,QB,11,Cam Miller,LVR,6,215,1.243816280006118,28.40909090909091,0.05005873,0.0,0.0,-0.06998608542785778
2025,QB,12,Kurtis Rourke,SFO,7,227,1.1499789441653778,25.0,0.086064406,1.0,0.0,-1.3021913548159008
2025,QB,13,Riley Leonard,IND,6,189,0.9764044596760006,18.75,0.11826091,1.0,0.0,-1.3776254971175903
2025,QB,14,Quinn Ewers,MIA,7,231,0.7000913429428676,6.8181818181818175,0.0499719,1.0,0.0,-2.455674322514196
2025,RB,1,Ashton Jeanty,LVR,1,6,14.198655685607905,99.46380697050938,0.7356364,1.0,0.0,2.2936335174334865
2025,RB,2,Omarion Hampton,LAC,1,22,12.398800841844217,97.05093833780161,0.7055811,1.0,0.0,1.130934696412588
2025,RB,3,TreVeyon Henderson,NWE,2,38,10.741024693335724,93.8337801608579,0.5690015,1.0,0.0,0.5359898618726842
2025,RB,4,Quinshon Judkins,CLE,2,36,10.670418180891922,93.02949061662198,0.5432904,1.0,0.0,1.5660167647458625
2025,RB,5,RJ Harvey,DEN,2,60,9.686323408312216,90.61662198391421,0.39632985,1.0,0.0,1.028227820167305
2025,RB,6,Kaleb Johnson,PIT,3,83,7.582721819695914,80.42895442359249,0.22359931,1.0,0.0,-0.9181919488455144
2025,RB,7,Cam Skattebo,NYG,4,105,5.765909997391834,68.63270777479893,0.42050332,1.0,0.0,-0.5688585299878861
2025,RB,8,Bhayshul Tuten,JAX,4,104,5.606774348106744,67.29222520107238,0.08345909,1.0,0.0,0.2729021925712072
2025,RB,9,Trevor Etienne,CAR,4,114,5.5559120677544644,67.29222520107238,0.065973766,1.0,0.0,0.3634126594879419
2025,RB,10,Jarquez Hunter,LAR,4,117,5.415897163929122,66.48793565683646,0.14018248,1.0,0.0,-0.09010391876642032
2025,RB,11,DJ Giddens,IND,5,151,4.812116905762735,60.58981233243968,0.14460012,1.0,0.0,-0.5399929235519281
2025,RB,12,Brashard Smith,KAN,7,228,4.394396491310857,55.76407506702413,0.21236129,1.0,0.0,-0.30880912838111474
2025,RB,13,Dylan Sampson,CLE,4,126,4.162785517910595,52.01072386058981,0.040321898,1.0,0.0,-0.19143144500761
2025,RB,14,Jaydon Blue,DAL,5,149,4.027662786014826,49.32975871313673,0.069637515,1.0,0.0,0.2686831912335528
2025,RB,15,Woody Marks,HOU,4,116,3.908285117542705,47.72117962466488,0.08208841,1.0,0.0,0.6078918769924693
2025,RB,16,Ollie Gordon,MIA,6,179,3.8729391708989303,47.45308310991957,0.102320366,1.0,0.0,-0.20898245402130566
2025,RB,17,Jordan James,SFO,5,147,3.8235637879937903,46.91689008042895,0.045845453,1.0,0.0,0.17835413626978003
2025,RB,18,Devin Neal,NOR,6,184,3.7481415951191472,45.30831099195711,0.114407115,1.0,0.0,-0.3846658639774079
2025,RB,19,Damien Martinez,SEA,7,223,3.5081741097231984,41.28686327077748,0.14244048,1.0,0.0,0.21137699098914808
2025,RB,20,Tahj Brooks,CIN,6,193,2.627012506070865,29.75871313672922,0.047783785,1.0,0.0,-0.27799632536808083
2025,RB,21,Kalel Mullings,TEN,6,188,2.590321113526758,29.2225201072386,0.049722854,1.0,0.0,-0.11251244681734462
2025,RB,22,Kyle Monangai,CHI,7,233,1.8149238964251166,18.498659517426276,0.02112474,1.0,0.0,-0.4136291552182847
2025,RB,23,Jacory Croskey-Merritt,WAS,7,245,1.7197843912890476,17.158176943699733,0.020709265,1.0,0.0,-0.3718926830733107
2025,RB,24,LeQuint Allen,JAX,7,236,1.388719345200261,12.332439678284182,0.1160046,1.0,0.0,-0.28000323976816066
2025,RB,25,Phil Mafah,DAL,7,239,0.7101731685575867,5.898123324396782,0.017842503,1.0,0.0,-0.3001962456620033
2025,TE,1,Tyler Warren,IND,1,14,8.801870597513473,98.70689655172413,0.5451454,1.0,0.0,1.3574038736100524
2025,TE,2,Colston Loveland,CHI,1,10,8.406849365389514,96.12068965517241,0.536196,1.0,0.0,1.806458233247259
2025,TE,3,Mason Taylor,NYJ,2,42,7.45709452673727,91.37931034482759,0.4912205,1.0,0.0,0.9974933912554724
2025,TE,4,Harold Fannin,CLE,3,67,6.233762871990292,85.77586206896551,0.41908875,1.0,0.0,-0.8927818933451142
2025,TE,5,Terrance Ferguson,LAR,2,46,5.882278577629769,84.91379310344827,0.26814148,1.0,0.0,0.5028550959775551
2025,TE,6,Elijah Arroyo,SEA,2,50,4.920891724035767,78.01724137931035,0.2630886,1.0,0.0,1.0345335010703205
2025,TE,7,Oronde Gadsden II,LAC,5,165,3.6629681993648275,63.36206896551724,0.09362026,1.0,0.0,-1.3205862331939833
2025,TE,8,Gunnar Helm,TEN,4,120,2.5812458477050475,42.672413793103445,0.06722506,1.0,0.0,-0.1365997189682142
2025,TE,9,Jackson Hawes,BUF,5,173,1.833800617148083,29.310344827586203,0.04136502,1.0,0.0,-0.19646166001677923
2025,TE,10,Mitchell Evans,CAR,5,163,1.5959765312441994,25.0,0.025042599,1.0,0.0,-0.18042893156697293
2025,TE,11,Gavin Bartholomew,MIN,6,202,1.4471255279827553,21.982758620689655,0.03277857,1.0,0.0,-0.21139631698492334
2025,TE,12,Robbie Ouzts,SEA,5,175,1.2887128191719583,20.25862068965517,0.019367324,1.0,0.0,0.18590334425025645
2025,TE,13,Moliki Matavao,NOR,7,248,0.5948958597570729,9.482758620689655,0.04319144,1.0,0.0,-0.8446605515579222
2025,TE,14,Thomas Fidone,NYG,7,219,0.45175391060153663,4.310344827586207,0.060167585,1.0,0.0,-0.7833496593415532
2025,TE,15,Luke Lachey,HOU,7,255,0.38122161789657566,1.7241379310344827,0.030152341,1.0,0.0,-0.1925102877246676
2025,TE,16,Caleb Lohner,DEN,7,241,0.3807698623773515,1.7241379310344827,0.031442124,1.0,0.0,-0.46858002842971747
2025,WR,1,Travis Hunter,JAX,1,2,12.825028477390955,98.85714285714286,0.76975596,1.0,0.0,4.031335830474905
2025,WR,2,Tetairoa McMillan,CAR,1,8,10.694696256252493,94.47619047619048,0.4653468,1.0,0.0,2.1998468768364385
2025,WR,3,Matthew Golden,GNB,1,23,10.21923117496999,93.33333333333333,0.25322956,1.0,0.0,1.6807427637769772
2025,WR,4,Luther Burden,CHI,2,39,8.805465106542622,86.28571428571429,0.370927,1.0,0.0,0.8008755013322002
2025,WR,5,Emeka Egbuka,TAM,1,19,8.721990136054428,85.90476190476191,0.30163196,1.0,0.0,0.8971377585184235
2025,WR,6,Tre Harris,LAC,2,55,7.941531991046424,81.33333333333333,0.30315188,1.0,0.0,0.5780460483855494
2025,WR,7,Kyle Williams,NWE,3,69,7.622676454581829,78.85714285714286,0.30329987,1.0,0.0,0.6789281789600254
2025,WR,8,Jayden Higgins,HOU,2,34,7.184912574779917,77.14285714285715,0.39724836,1.0,0.0,1.1787073729633697
2025,WR,9,Jack Bech,LVR,2,58,6.5556605186658015,72.76190476190476,0.1415581,1.0,0.0,1.1845005051314699
2025,WR,10,Pat Bryant,DEN,3,74,6.226603510404167,70.85714285714285,0.16251701,1.0,0.0,0.9455490254118821
2025,WR,11,Jaylin Noel,HOU,3,79,6.103470229216687,69.9047619047619,0.24935624,1.0,0.0,0.5112495656091323
2025,WR,12,Isaac TeSlaa,DET,3,70,4.947292410964386,61.904761904761905,0.17879988,1.0,0.0,1.4268850532872932
2025,WR,13,Tory Horton,SEA,5,166,4.826903100115047,61.142857142857146,0.04694339,1.0,0.0,-0.0324290239023064
2025,WR,14,Tai Felton,MIN,3,102,4.801731898050886,60.952380952380956,0.035213478,1.0,0.0,0.3631977301400289
2025,WR,15,Dont'e Thornton,LVR,4,108,4.5875430072028855,59.80952380952381,0.028485429,1.0,0.0,0.2442771372117445
2025,WR,16,Jalen Royals,KAN,4,133,4.57230576055422,59.80952380952381,0.04266418,1.0,0.0,0.4877864488539174
