season,pfr_name,draft_pick,primary_ppg,position,prospect_model_score,training_rows_before_draft
2008,Matt Ryan,3,14.0125,QB,6.1542435424572375,38
2008,Joe Flacco,18,13.6875,QB,5.622114833390763,38
2008,Brian Brohm,56,0.048125,QB,2.1599756732837077,38
2008,Chad Henne,57,9.420000000000002,QB,2.2420838037755892,38
2008,Kevin O'Connell,94,0.009999999999999998,QB,3.175916931378236,38
2008,John David Booty,137,0.0,QB,1.6581430146742848,38
2008,Dennis Dixon,156,0.808125,QB,2.7330200240063225,38
2008,Josh Johnson,160,1.5168749999999998,QB,1.6406773535885093,38
2008,Erik Ainge,162,0.0,QB,1.233496471933295,38
2008,Colt Brennan,186,0.0,QB,2.8397196526406296,38
2008,Andre Woodson,198,0.0,QB,2.6319785781084,38
2008,Matt Flynn,209,0.8300000000000001,QB,1.7155607527557097,38
2008,Alex Brink,223,0.0,QB,1.2732613288617185,38
2009,Matthew Stafford,1,14.727500000000001,QB,8.242028228846484,51
2009,Mark Sanchez,5,13.73125,QB,8.110223125793208,51
2009,Josh Freeman,17,14.485000000000001,QB,8.164834102285484,51
2009,Pat White,44,0.25312500000000004,QB,2.4681475368053047,51
2009,Stephen McGee,101,1.21875,QB,1.7410146602617829,51
2009,Rhett Bomar,151,0.0,QB,1.6121954960039153,51
2009,Nate Davis,171,0.0,QB,0.6771910372347626,51
2009,Tom Brandstater,174,0.0,QB,1.567178921145737,51
2009,Mike Teel,178,0.0,QB,0.9958483994265607,51
2009,Keith Null,196,0.46625000000000005,QB,2.4317096258196864,51
2009,Curtis Painter,201,2.2606249999999997,QB,1.8525922442413538,51
2010,Sam Bradford,1,13.164375,QB,10.663765445872286,62
2010,Tim Tebow,25,9.313125000000001,QB,4.003663525623196,62
2010,Jimmy Clausen,48,1.813125,QB,2.3820672534035747,62
2010,Colt McCoy,85,7.87375,QB,1.467189321554379,62
2010,Mike Kafka,122,0.008749999999999999,QB,1.5054020978195477,62
2010,John Skelton,155,4.271875,QB,1.6843740025070228,62
2010,Jonathan Crompton,168,0.0,QB,1.0471797498415052,62
2010,Rusty Smith,176,0.0425,QB,0.6376555356259243,62
2010,Dan LeFevour,181,0.0,QB,0.9159576043391158,62
2010,Tony Pike,204,0.05875,QB,0.7651489179029661,62
2010,Levi Brown,209,0.0,QB,1.1034557303586348,62
2010,Sean Canfield,239,0.0,QB,1.0563975544468065,62
2010,Zac Robinson,250,0.0,QB,1.20505391676589,62
2011,Cam Newton,1,21.743750000000002,QB,10.785132008576232,75
2011,Jake Locker,8,7.246250000000001,QB,11.969005151038921,75
2011,Blaine Gabbert,10,6.57625,QB,11.505125172628446,75
2011,Christian Ponder,12,9.756874999999999,QB,11.544190858083864,75
2011,Andy Dalton,35,16.836875,QB,2.1246632603041826,75
2011,Colin Kaepernick,36,13.698124999999997,QB,2.228710789554467,75
2011,Ryan Mallett,74,0.0,QB,2.1698534733351558,75
2011,Ricky Stanzi,135,0.0,QB,0.9270417864650993,75
2011,T.J. Yates,152,1.4712500000000004,QB,1.2657549047363683,75
2011,Nathan Enderle,160,0.0,QB,1.5987964885320376,75
2011,Tyrod Taylor,180,0.766875,QB,0.8978418654343453,75
2011,Greg McElroy,208,0.36125,QB,1.0914634066134534,75
2012,Andrew Luck,1,20.134999999999998,QB,11.091120331375961,87
2012,Robert Griffin,2,16.57875,QB,11.333832112949544,87
2012,Ryan Tannehill,8,16.181874999999998,QB,12.395349035372655,87
2012,Brandon Weeden,22,7.976250000000001,QB,9.306352831129532,87
2012,Brock Osweiler,57,0.315,QB,2.264787810447311,87
2012,Russell Wilson,75,18.881875,QB,2.7349676068303674,87
2012,Nick Foles,88,11.845625,QB,2.3498993249930398,87
2012,Kirk Cousins,102,3.81125,QB,0.9972479665420954,87
2012,Ryan Lindley,185,1.1018750000000002,QB,0.6921382496763273,87
2012,B.J. Coleman,243,0.0,QB,2.039169876668266,87
2012,Chandler Harnish,253,0.0,QB,0.963646851378197,87
2013,EJ Manuel,16,6.0062500000000005,QB,12.318783345218316,98
2013,Geno Smith,39,10.798124999999999,QB,4.569434768005905,98
2013,Mike Glennon,73,7.7375,QB,4.1467944883306105,98
2013,Matt Barkley,98,0.05625,QB,2.095155637871923,98
2013,Ryan Nassib,110,0.275625,QB,1.4340134247553702,98
2013,Tyler Wilson,112,0.0,QB,1.3386159713276715,98
2013,Landry Jones,115,0.688125,QB,1.9861873149833495,98
2013,Brad Sorensen,221,0.0,QB,2.236917092246343,98
2013,Zac Dysert,234,0.0,QB,1.340119507150486,98
2013,B.J. Daniels,237,0.14625000000000002,QB,0.8734154244398656,98
2013,Sean Renfree,249,0.0,QB,1.9478954974183644,98
2014,Blake Bortles,3,18.350625,QB,12.868072597597553,109
