draft_year,position,position_year_rank,player_name,result_type,draft_team,draft_round,draft_pick,model_score_best2of3_ppg,prospect_model_percentile_pooled,prospect_model_percentile_temporal,temporal_reference_n,all_years_position_rank_by_percentile,all_years_overall_rank_by_percentile,hit_probability,realized_primary_ppg,hit3,star3,best_rank3,outcome_complete,target_valid,training_rows_before_draft,college_match,fuzzy_match,scout_boost
2007,RB,1,Adrian Peterson,historical_oof,,,7,11.577407061048696,95.71045576407506,,0.0,21,74,,18.209375,1.0,1.0,4.0,1,1.0,44.0,,,
2007,RB,2,Marshawn Lynch,historical_oof,,,12,11.564200177362572,95.44235924932975,,0.0,22,78,,13.3725,1.0,0.0,12.0,1,1.0,44.0,,,
2007,RB,3,Garrett Wolfe,historical_oof,,,93,9.287128369758577,89.54423592493298,,0.0,48,170,,1.575,0.0,0.0,93.0,1,1.0,44.0,,,
2007,RB,4,Chris Henry,historical_oof,,,50,8.850243172976993,87.39946380697052,,0.0,56,200,,1.109375,0.0,0.0,88.0,1,1.0,44.0,,,
2007,RB,5,Tony Hunt,historical_oof,,,90,8.14903029207031,83.6461126005362,,0.0,71,257,,0.709375,0.0,0.0,110.0,1,1.0,44.0,,,
2007,RB,6,Brian Leonard,historical_oof,,,52,7.855985713281171,82.30563002680965,,0.0,76,277,,4.3343750000000005,0.0,0.0,56.0,1,1.0,44.0,,,
2007,RB,7,Brandon Jackson,historical_oof,,,63,7.802981681498915,82.03753351206434,,0.0,77,280,,4.690625,0.0,0.0,59.0,1,1.0,44.0,,,
2007,RB,8,Lorenzo Booker,historical_oof,,,71,7.301617445324322,78.55227882037534,,0.0,93,334,,2.39375,0.0,0.0,65.0,1,1.0,44.0,,,
2007,RB,9,Michael Bush,historical_oof,,,100,6.951799490248968,74.79892761394102,,0.0,107,389,,6.056875,0.0,0.0,45.0,1,1.0,44.0,,,
2007,RB,10,Kenny Irons,historical_oof,,,49,6.216578728425592,70.77747989276139,,0.0,123,449,,0.0,0.0,0.0,,1,1.0,44.0,,,
2007,RB,11,Antonio Pittman,historical_oof,,,107,6.124081771544967,70.24128686327077,,0.0,125,458,,2.4625000000000004,0.0,0.0,69.0,1,1.0,44.0,,,
2007,RB,12,Kolby Smith,historical_oof,,,148,4.888256910444239,61.93029490616622,,0.0,162,597,,3.771875,0.0,0.0,52.0,1,1.0,44.0,,,
