pfr_name,position,peak_college_season,peak_college_ppg,match_method,matched_name_norm,peak_points,peak_games
Fernando Mendoza,QB,2025.0,25.043,exact,fernandomendoza,375.64,15.0
Jeremiyah Love,RB,2025.0,26.917,exact,jeremiyahlove,323.0,12.0
Carnell Tate,WR,2025.0,17.1,exact,carnelltate,171.0,10.0
Jordyn Tyson,WR,2024.0,19.718,exact,jordyntyson,216.9,11.0
Ty Simpson,QB,2025.0,22.181,exact,tysimpson,310.54,14.0
Kenyon Sadiq,TE,2025.0,11.869,exact,kenyonsadiq,154.3,13.0
Makai Lemon,WR,2025.0,23.313,exact,makailemon,279.76,12.0
KC Concepcion,WR,2023.0,20.289,exact,kcconcepcion,223.18,11.0
Omar Cooper Jr.,WR,2025.0,13.587,exact,omarcooper,203.8,15.0
Jadarian Price,RB,2025.0,13.525,exact,jadarianprice,162.3,12.0
De'Zhaun Stribling,WR,2024.0,14.809,exact,dezhaunstribling,162.9,11.0
Denzel Boston,WR,2025.0,21.17,exact,denzelboston,211.7,10.0
Germie Bernard,WR,2025.0,15.3,exact,germiebernard,214.2,14.0
Eli Stowers,TE,2025.0,13.473,exact,elistowers,148.2,11.0
Nate Boerkircher,TE,2025.0,5.9,exact,nateboerkircher,64.9,11.0
Marlin Klein,TE,2025.0,4.982,exact,marlinklein,54.8,11.0
Max Klare,TE,2024.0,10.61,exact,maxklare,106.1,10.0
Carson Beck,QB,2023.0,21.748,exact,carsonbeck,282.72,13.0
Sam Roush,TE,2025.0,9.625,exact,samroush,115.5,12.0
Antonio Williams,WR,2024.0,17.498,exact,antoniowilliams,227.48,13.0
Oscar Delp,TE,2022.0,8.55,exact,oscardelp,17.1,2.0
Malachi Fields,WR,2022.0,16.8,exact,malachifields,16.8,1.0
Caleb Douglas,WR,2024.0,13.958,exact,calebdouglas,167.5,12.0
Drew Allar,QB,2023.0,21.378,exact,drewallar,235.16,11.0
Zachariah Branch,WR,2025.0,15.015,exact,zachariahbranch,195.2,13.0
Ja'Kobi Lane,WR,2024.0,13.858,exact,jakobilane,166.3,12.0
Chris Brazzell II,WR,2025.0,16.764,exact,chrisbrazzell,184.4,11.0
Ted Hurst,WR,2024.0,16.655,exact,tedhurst,183.2,11.0
Will Kacmarek,TE,2023.0,5.209,exact,willkacmarek,57.3,11.0
Zavion Thomas,WR,2023.0,9.84,exact,zavionthomas,98.4,10.0
Kaelon Black,RB,2022.0,11.957,exact,kaelonblack,83.7,7.0
Chris Bell,WR,2025.0,19.17,exact,chrisbell,191.7,10.0
Eli Raridon,TE,2023.0,8.05,exact,eliraridon,16.1,2.0
Brenen Thompson,WR,2025.0,15.925,exact,brenenthompson,191.1,12.0
Jonah Coleman,RB,2025.0,18.373,exact,jonahcoleman,202.1,11.0
Cade Klubnik,QB,2024.0,29.314,exact,cadeklubnik,381.08,13.0
Elijah Sarratt,WR,2023.0,20.45,exact,elijahsarratt,245.4,12.0
Kaden Wetjen,WR,2025.0,5.49,exact,kadenwetjen,54.9,10.0
Mike Washington Jr.,RB,2025.0,17.736,exact,mikewashington,195.1,11.0
Skyler Bell,WR,2025.0,25.0,exact,skylerbell,275.0,11.0
Matthew Hibner,TE,2024.0,10.387,exact,matthewhibner,83.1,8.0
Bryce Lance,WR,,,unmatched,,,
Colbie Young,WR,2022.0,12.225,exact,colbieyoung,97.8,8.0
Reggie Virgil,WR,2025.0,12.438,exact,reggievirgil,161.7,13.0
Justin Joly,TE,2025.0,11.418,exact,justinjoly,125.6,11.0
Max Bredeson,TE,2022.0,3.2,exact,maxbredeson,12.8,4.0
Emmett Johnson,RB,2025.0,27.455,exact,emmettjohnson,302.0,11.0
Tanner Koziol,TE,2024.0,18.5,exact,tannerkoziol,203.5,11.0
Nicholas Singleton,RB,2024.0,19.22,exact,nicholassingleton,288.3,15.0
Kendrick Law,WR,2025.0,9.836,exact,kendricklaw,108.2,11.0
Riley Nowakowski,TE,2025.0,6.929,exact,rileynowakowski,97.0,14.0
Joe Royer,TE,2024.0,9.655,exact,joeroyer,106.2,11.0
Josh Cuevas,TE,2025.0,8.717,exact,joshcuevas,104.6,12.0
Adam Randall,RB,2025.0,18.825,exact,adamrandall,225.9,12.0
Cyrus Allen,WR,2025.0,14.775,exact,cyrusallen,177.3,12.0
Kevin Coleman Jr.,WR,2024.0,16.3,exact,kevincoleman,179.3,11.0
Cole Payton,QB,,,unmatched,,,
Seydou Traore,TE,2022.0,11.809,exact,seydoutraore,129.9,11.0
Taylen Green,QB,2025.0,25.96,exact,taylengreen,285.56,11.0
Bauer Sharp,TE,2024.0,7.66,exact,bauersharp,76.6,10.0
Kaytron Allen,RB,2025.0,21.391,exact,kaytronallen,235.3,11.0
Barion Brown,WR,2022.0,10.636,exact,barionbrown,117.0,11.0
Josh Cameron,WR,2025.0,17.891,exact,joshcameron,196.8,11.0
Malik Benson,WR,2025.0,9.879,exact,malikbenson,138.3,14.0
CJ Daniels,WR,2023.0,15.307,exact,cjdaniels,214.3,14.0
Demond Claiborne,RB,2024.0,19.473,exact,demondclaiborne,214.2,11.0
Emmanuel Henderson Jr.,WR,2025.0,11.182,exact,emmanuelhenderson,123.0,11.0
CJ Williams,WR,2025.0,13.85,exact,cjwilliams,166.2,12.0
Lewis Bond,WR,2025.0,15.791,exact,lewisbond,173.7,11.0
Anthony Smith,WR,2025.0,17.692,exact,anthonysmith,212.3,12.0
Jack Endries,TE,2024.0,11.382,exact,jackendries,125.2,11.0
Athan Kaliakmanis,QB,2025.0,21.745,exact,athankaliakmanis,239.2,11.0
Jaren Kanak,TE,2025.0,6.942,exact,jarenkanak,83.3,12.0
Eli Heidenreich,RB,2025.0,18.217,exact,eliheidenreich,218.6,12.0
Behren Morton,QB,2024.0,20.929,exact,behrenmorton,230.22,11.0
Seth McGowan,RB,2025.0,15.02,exact,sethmcgowan,150.2,10.0
Jam Miller,RB,2024.0,11.692,exact,jammiller,140.3,12.0
Carsen Ryan,TE,2025.0,8.669,exact,carsenryan,112.7,13.0
Garrett Nussmeier,QB,2024.0,22.083,exact,garrettnussmeier,265.0,12.0
Deion Burks,WR,2024.0,15.08,exact,deionburks,75.4,5.0
Dallen Bentley,TE,2025.0,11.375,exact,dallenbentley,136.5,12.0
