season,player_team_rows,matched,match_rate
2004,1889,1874,0.9920592906299629
2005,2277,2277,1.0
2006,2237,2237,1.0
2007,2336,2336,1.0
2008,2342,2342,1.0
2009,2328,2328,1.0
2010,2371,2371,1.0
2011,2397,2397,1.0
2012,2494,2473,0.9915797914995991
2013,2573,2548,0.9902837155071901
2014,2556,2526,0.9882629107981221
2015,2603,2579,0.9907798693814829
2016,2671,2646,0.9906402096593037
2017,2737,2717,0.9926927292656192
2018,2797,2797,1.0
2019,2852,2852,1.0
2020,2523,2523,1.0
2021,2799,2799,1.0
2022,2766,2766,1.0
2023,2849,2826,0.991926991926992
2024,2823,2778,0.9840595111583422
2025,2977,2914,0.9788377561303325
