college_season,source_date,metric,teams,min,max,status
2004,2005-01-05,sos,117,-12.5,8.4,ok
2004,2005-01-05,plays_pg,117,63.5,81.4,ok
2004,2005-01-05,opp_plays_pg,117,62.3,81.8,ok
2005,2006-01-05,sos,119,-12.4,10.7,ok
2005,2006-01-05,plays_pg,119,62.0,82.8,ok
2005,2006-01-05,opp_plays_pg,119,60.9,81.1,ok
2006,2007-01-09,sos,119,-10.7,6.3,ok
2006,2007-01-09,plays_pg,119,1.4,70.7,ok
2006,2007-01-09,opp_plays_pg,119,1.6,72.1,ok
2007,2008-01-08,sos,120,-15.2,8.2,ok
2007,2008-01-08,plays_pg,120,1.5,83.0,ok
2007,2008-01-08,opp_plays_pg,120,1.7,79.5,ok
2008,2009-01-09,sos,120,-14.7,13.9,ok
2008,2009-01-09,plays_pg,120,1.1,22.0,ok
2008,2009-01-09,opp_plays_pg,120,0.7,26.7,ok
2009,2010-01-08,sos,120,-12.6,11.4,ok
2009,2010-01-08,plays_pg,120,1.4,26.0,ok
2009,2010-01-08,opp_plays_pg,120,1.2,27.5,ok
2010,2011-01-11,sos,120,-15.4,9.8,ok
2010,2011-01-11,plays_pg,120,0.4,5.3,ok
2010,2011-01-11,opp_plays_pg,120,0.6,3.8,ok
2011,2012-01-10,sos,120,-15.7,13.7,ok
2011,2012-01-10,plays_pg,120,62.7,85.3,ok
2011,2012-01-10,opp_plays_pg,120,58.4,86.1,ok
2012,2013-01-08,sos,124,-16.7,10.1,ok
2012,2013-01-08,plays_pg,124,58.9,92.8,ok
2012,2013-01-08,opp_plays_pg,124,56.5,88.8,ok
2013,2014-01-07,sos,125,-17.1,11.9,ok
2013,2014-01-07,plays_pg,125,61.9,90.3,ok
2013,2014-01-07,opp_plays_pg,125,61.3,85.0,ok
2014,2015-01-13,sos,128,-16.6,14.0,ok
2014,2015-01-13,plays_pg,128,62.1,90.3,ok
2014,2015-01-13,opp_plays_pg,128,60.2,84.3,ok
2015,2016-01-12,sos,128,-15.6,12.6,ok
2015,2016-01-12,plays_pg,128,60.7,86.3,ok
2015,2016-01-12,opp_plays_pg,128,63.1,83.9,ok
2016,2017-01-10,sos,128,-16.0,14.2,ok
2016,2017-01-10,plays_pg,128,60.4,88.6,ok
2016,2017-01-10,opp_plays_pg,128,58.6,86.6,ok
2017,2018-01-09,sos,130,-14.6,13.0,ok
2017,2018-01-09,plays_pg,130,58.3,87.8,ok
2017,2018-01-09,opp_plays_pg,130,56.2,86.6,ok
2018,2019-01-08,sos,130,-15.2,15.8,ok
2018,2019-01-08,plays_pg,130,59.4,85.0,ok
2018,2019-01-08,opp_plays_pg,130,57.2,86.3,ok
2019,2020-01-14,sos,130,-23.0,19.0,ok
2019,2020-01-14,plays_pg,130,63.0,82.9,ok
2019,2020-01-14,opp_plays_pg,130,60.7,82.4,ok
2020,2021-01-12,sos,127,-20.2,18.2,ok
2020,2021-01-12,plays_pg,127,56.8,88.0,ok
2020,2021-01-12,opp_plays_pg,127,55.3,83.2,ok
2021,2022-01-11,sos,130,-19.1,15.7,ok
2021,2022-01-11,plays_pg,130,58.1,81.4,ok
2021,2022-01-11,opp_plays_pg,130,59.2,82.2,ok
2022,2023-01-10,sos,131,-16.1,15.6,ok
2022,2023-01-10,plays_pg,131,59.1,89.2,ok
2022,2023-01-10,opp_plays_pg,131,52.0,83.5,ok
2023,2024-01-09,sos,133,-13.9,15.2,ok
2023,2024-01-09,plays_pg,133,56.1,82.1,ok
2023,2024-01-09,opp_plays_pg,133,59.5,77.5,ok
2024,2025-01-21,sos,134,-15.7,17.6,ok
2024,2025-01-21,plays_pg,134,57.8,79.9,ok
2024,2025-01-21,opp_plays_pg,134,56.9,77.8,ok
2025,2026-01-20,sos,136,-17.0,20.6,ok
2025,2026-01-20,plays_pg,136,59.9,79.8,ok
2025,2026-01-20,opp_plays_pg,136,57.2,77.6,ok
