college_season,source_date,metric,rank,teamrankings_team,team_key,value,source_url
2004,2005-01-05,sos,1,USC,usc,8.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,2,Miami,miami,6.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,3,Oregon St,oregonst,6.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,4,Oklahoma,oklahoma,6.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,5,Arizona St,arizonast,6.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,6,California,california,6.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,7,Virginia Tech,virginiatech,6.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,8,Texas,texas,5.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,9,Texas Tech,texastech,5.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,10,Texas A&M,texasaandm,5.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,11,North Carolina,northcarolina,4.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,12,Iowa,iowa,4.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,13,Stanford,stanford,4.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,14,Louisville,louisville,4.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,15,Oklahoma St,oklahomast,4.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,16,Virginia,virginia,4.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,17,Notre Dame,notredame,4.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,18,LSU,lsu,3.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,19,Ohio St,ohiost,3.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,20,Michigan,michigan,3.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,21,Georgia,georgia,3.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,22,Florida St,floridast,3.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,23,Auburn,auburn,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,24,Tennessee,tennessee,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,25,Georgia Tech,georgiatech,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,26,UCLA,ucla,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,27,Arkansas,arkansas,3.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,28,Purdue,purdue,2.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,29,Florida,florida,2.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,30,BYU,byu,2.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,31,Northwestern,northwestern,2.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,32,Colorado,colorado,2.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,33,Clemson,clemson,2.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,34,Arizona,arizona,2.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,35,NC State,ncstate,2.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,36,Kansas,kansas,2.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,37,Oregon,oregon,1.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,38,Boise St,boisest,1.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,39,Maryland,maryland,1.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,40,Washington,washington,1.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,41,Wisconsin,wisconsin,1.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,42,Washington St,washingtonst,1.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,43,Penn St,pennst,1.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,44,Kansas St,kansasst,0.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,45,Iowa St,iowast,0.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,46,South Carolina,southcarolina,0.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,47,New Mexico,newmexico,0.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,48,Michigan St,michiganst,0.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,49,Minnesota,minnesota,0.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,50,Alabama,alabama,0.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,51,Duke,duke,0.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,52,Mississippi,mississippi,-0.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,53,Indiana,indiana,-0.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,54,Syracuse,syracuse,-0.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,55,Fresno St,fresnost,-0.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,56,Wake Forest,wakeforest,-0.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,57,Kentucky,kentucky,-0.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,58,Louisiana Tech,louisianatech,-1.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,59,Utah,utah,-1.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,60,Colorado St,coloradost,-1.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,61,Nebraska,nebraska,-1.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,62,Cincinnati,cincinnati,-1.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,63,San Diego St,sandiegost,-1.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,64,Missouri,missouri,-1.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,65,Illinois,illinois,-2.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,66,UTEP,utep,-2.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,67,Wyoming,wyoming,-2.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,68,West Virginia,westvirginia,-2.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,69,Houston,houston,-2.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,70,Baylor,baylor,-2.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,71,UNLV,unlv,-2.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,72,Bowling Green,bowlinggreen,-2.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,73,Marshall,marshall,-2.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
2004,2005-01-05,sos,74,Southern Miss,southernmiss,-2.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2005-01-05
