college_season,source_date,teamrankings_team,team_key,points_per_play_margin,points_per_play_margin_rank,source_url
2004,2005-01-05,Louisville,louisville,0.367,1,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Utah,utah,0.337,2,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,USC,usc,0.336,3,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Fresno St,fresnost,0.308,4,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Auburn,auburn,0.297,5,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,California,california,0.279,6,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Bowling Green,bowlinggreen,0.268,7,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Boise St,boisest,0.231,8,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Miami,miami,0.228,9,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Oklahoma,oklahoma,0.205,10,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Texas,texas,0.204,11,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Virginia Tech,virginiatech,0.184,12,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Purdue,purdue,0.169,13,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Florida,florida,0.167,14,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,UTEP,utep,0.163,15,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,N Illinois,nillinois,0.155,16,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Virginia,virginia,0.154,17,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,LSU,lsu,0.139,18,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Florida St,floridast,0.136,19,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Troy,troy,0.134,20,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Ohio St,ohiost,0.132,21,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Oklahoma St,oklahomast,0.122,22,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Georgia,georgia,0.121,23,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Navy,navy,0.115,24,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,West Virginia,westvirginia,0.113,25,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Texas A&M,texasaandm,0.101,26,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Minnesota,minnesota,0.101,27,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Texas Tech,texastech,0.096,28,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Iowa,iowa,0.096,29,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,UCLA,ucla,0.091,30,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Tennessee,tennessee,0.087,31,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Boston College,bostoncollege,0.081,32,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Miami OH,miamioh,0.075,33,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Alabama,alabama,0.072,34,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,UAB,uab,0.071,35,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Michigan,michigan,0.065,36,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Arkansas,arkansas,0.064,37,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,New Mexico,newmexico,0.054,38,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Wisconsin,wisconsin,0.053,39,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Pittsburgh,pittsburgh,0.053,40,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,UConn,uconn,0.052,41,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Clemson,clemson,0.046,42,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Penn St,pennst,0.045,43,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Hawai'i,hawaii,0.045,44,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Arizona St,arizonast,0.036,45,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Kent St,kentst,0.028,46,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Marshall,marshall,0.028,47,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Southern Miss,southernmiss,0.026,48,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Stanford,stanford,0.023,49,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Kansas,kansas,0.021,50,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Toledo,toledo,0.018,51,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Colorado,colorado,0.018,52,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Memphis,memphis,0.017,53,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,N Texas,ntexas,0.011,54,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Georgia Tech,georgiatech,0.011,55,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Michigan St,michiganst,0.008,56,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Missouri,missouri,0.006,57,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
2004,2005-01-05,Notre Dame,notredame,0.003,58,https://www.teamrankings.com/college-football/stat/points-per-play-margin?date=2005-01-05
