college_season,source_date,teams,min,max,method,status
2004,2005-01-05,117,-0.336,0.367,direct_final_snapshot,ok
2005,2006-01-05,119,-0.471,0.454,direct_final_snapshot,ok
2006,2007-01-09,119,-9.408,7.763,invalid_teamrankings_archive,excluded
2007,2008-01-08,120,-5.201,14.744,invalid_teamrankings_archive,excluded
2008,2009-01-09,120,-34.933,22.197,invalid_teamrankings_archive,excluded
2009,2010-01-08,120,-26.062,11.618,invalid_teamrankings_archive,excluded
2010,2011-01-11,120,-43.359,88.067,invalid_teamrankings_archive,excluded
2011,2012-01-10,120,-0.42,0.38,direct_final_snapshot,ok
2012,2013-01-08,124,-0.45,0.381,direct_final_snapshot,ok
2013,2014-01-07,125,-0.424,0.551,direct_final_snapshot,ok
2014,2015-01-13,128,-0.382,0.327,direct_final_snapshot,ok
2015,2016-01-12,128,-0.386,0.303,direct_final_snapshot,ok
2016,2017-01-10,128,-0.367,0.345,direct_final_snapshot,ok
2017,2018-01-09,130,-0.449,0.343,direct_final_snapshot,ok
2018,2019-01-08,130,-0.443,0.415,direct_final_snapshot,ok
2019,2020-01-14,130,-0.451,0.407,direct_final_snapshot,ok
2020,2021-01-12,127,-0.506,0.418,direct_final_snapshot,ok
2021,2022-01-11,130,-0.395,0.43,direct_final_snapshot,ok
2022,2023-01-10,131,-0.385,0.357,direct_final_snapshot,ok
2023,2024-01-09,133,-0.358,0.399,direct_final_snapshot,ok
2024,2025-01-21,134,-0.407,0.367,direct_final_snapshot,ok
2025,2026-01-20,136,-0.424,0.416,direct_final_snapshot,ok
