season,pfr_name,draft_pick,primary_ppg,position,prospect_model_score,training_rows_before_draft,hit3,star3,best_rank3,target_valid,prospect_model_percentile,temporal_prospect_percentile,temporal_reference_n
2008,Matt Ryan,3,14.0125,QB,6.1542435424572375,38,1,0,8.0,1,72.72727272727273,,0
2008,Joe Flacco,18,13.6875,QB,5.622114833390763,38,1,0,10.0,1,72.1590909090909,,0
2008,Brian Brohm,56,0.048125,QB,2.159975673283708,38,0,0,65.0,1,48.86363636363637,,0
2008,Chad Henne,57,9.420000000000002,QB,2.242083803775589,38,0,0,23.0,1,51.13636363636363,,0
2008,Kevin O'Connell,94,0.0099999999999999,QB,3.175916931378236,38,0,0,66.0,1,61.36363636363637,,0
2008,John David Booty,137,0.0,QB,1.6581430146742848,38,0,0,,1,37.5,,0
2008,Dennis Dixon,156,0.808125,QB,2.7330200240063225,38,0,0,50.0,1,57.38636363636363,,0
2008,Josh Johnson,160,1.5168749999999998,QB,1.6406773535885093,38,0,0,41.0,1,36.93181818181818,,0
2008,Erik Ainge,162,0.0,QB,1.233496471933295,38,0,0,,1,27.84090909090909,,0
2008,Colt Brennan,186,0.0,QB,2.8397196526406296,38,0,0,,1,59.09090909090909,,0
2008,Andre Woodson,198,0.0,QB,2.6319785781084,38,0,0,,1,56.81818181818182,,0
2008,Matt Flynn,209,0.8300000000000001,QB,1.7155607527557095,38,0,0,50.0,1,39.20454545454545,,0
2008,Alex Brink,223,0.0,QB,1.2732613288617185,38,0,0,,1,29.545454545454547,,0
2009,Matthew Stafford,1,14.7275,QB,8.242028228846484,51,1,1,5.0,1,75.0,,13
2009,Mark Sanchez,5,13.73125,QB,8.110223125793208,51,1,0,10.0,1,73.86363636363636,,13
2009,Josh Freeman,17,14.485,QB,8.164834102285484,51,1,0,7.0,1,74.43181818181817,,13
2009,Pat White,44,0.253125,QB,2.4681475368053047,51,0,0,57.0,1,55.68181818181818,,13
2009,Stephen McGee,101,1.21875,QB,1.7410146602617829,51,0,0,51.0,1,39.77272727272727,,13
2009,Rhett Bomar,151,0.0,QB,1.612195496003915,51,0,0,,1,36.36363636363637,,13
2009,Nate Davis,171,0.0,QB,0.6771910372347626,51,0,0,,1,6.25,,13
2009,Tom Brandstater,174,0.0,QB,1.567178921145737,51,0,0,72.0,1,35.22727272727273,,13
2009,Mike Teel,178,0.0,QB,0.9958483994265608,51,0,0,,1,19.318181818181817,,13
2009,Keith Null,196,0.46625,QB,2.4317096258196864,51,0,0,51.0,1,55.11363636363637,,13
2009,Curtis Painter,201,2.260625,QB,1.8525922442413536,51,0,0,35.0,1,40.340909090909086,,13
2010,Sam Bradford,1,13.164375,QB,10.663765445872286,62,0,0,16.0,1,80.68181818181817,,24
2010,Tim Tebow,25,9.313125,QB,4.003663525623196,62,0,0,18.0,1,65.3409090909091,,24
2010,Jimmy Clausen,48,1.813125,QB,2.3820672534035747,62,0,0,37.0,1,54.54545454545454,,24
2010,Colt McCoy,85,7.87375,QB,1.467189321554379,62,0,0,20.0,1,34.090909090909086,,24
2010,Mike Kafka,122,0.0087499999999999,QB,1.5054020978195477,62,0,0,71.0,1,34.659090909090914,,24
2010,John Skelton,155,4.271875,QB,1.6843740025070228,62,0,0,29.0,1,38.63636363636363,,24
2010,Jonathan Crompton,168,0.0,QB,1.0471797498415052,62,0,0,,1,22.727272727272727,,24
2010,Rusty Smith,176,0.0425,QB,0.6376555356259243,62,0,0,60.0,1,5.113636363636364,,24
2010,Dan LeFevour,181,0.0,QB,0.9159576043391158,62,0,0,,1,16.477272727272727,,24
2010,Tony Pike,204,0.05875,QB,0.7651489179029661,62,0,0,67.0,1,8.522727272727272,,24
2010,Levi Brown,209,0.0,QB,1.1034557303586348,62,0,0,78.0,1,24.431818181818183,,24
2010,Sean Canfield,239,0.0,QB,1.0563975544468065,62,0,0,,1,23.295454545454543,,24
2010,Zac Robinson,250,0.0,QB,1.20505391676589,62,0,0,,1,27.27272727272727,,24
2011,Cam Newton,1,21.74375,QB,10.785132008576232,75,1,1,3.0,1,81.81818181818183,100.0,37
2011,Jake Locker,8,7.246250000000001,QB,11.96900515103892,75,0,0,28.0,1,86.93181818181817,100.0,37
2011,Blaine Gabbert,10,6.57625,QB,11.505125172628446,75,0,0,28.0,1,84.6590909090909,100.0,37
2011,Christian Ponder,12,9.756875,QB,11.544190858083864,75,0,0,22.0,1,85.22727272727273,100.0,37
2011,Andy Dalton,35,16.836875,QB,2.1246632603041826,75,1,1,5.0,1,47.72727272727273,56.75675675675676,37
2011,Colin Kaepernick,36,13.698124999999996,QB,2.228710789554467,75,1,0,9.0,1,50.0,59.45945945945946,37
2011,Ryan Mallett,74,0.0,QB,2.169853473335156,75,0,0,70.0,1,49.43181818181818,59.45945945945946,37
2011,Ricky Stanzi,135,0.0,QB,0.9270417864650992,75,0,0,,1,17.045454545454543,10.81081081081081,37
2011,T.J. Yates,152,1.4712500000000004,QB,1.2657549047363683,75,0,0,43.0,1,28.97727272727273,27.027027027027028,37
2011,Nathan Enderle,160,0.0,QB,1.5987964885320376,75,0,0,,1,35.79545454545455,37.83783783783784,37
2011,Tyrod Taylor,180,0.766875,QB,0.8978418654343453,75,0,0,40.0,1,15.340909090909092,8.108108108108109,37
2011,Greg McElroy,208,0.36125,QB,1.0914634066134534,75,0,0,48.0,1,23.863636363636363,18.91891891891892,37
2012,Andrew Luck,1,20.135,QB,11.09112033137596,87,1,1,2.0,1,82.95454545454545,93.87755102040816,49
2012,Robert Griffin,2,16.57875,QB,11.333832112949544,87,1,1,5.0,1,83.52272727272727,93.87755102040816,49
2012,Ryan Tannehill,8,16.181874999999998,QB,12.395349035372655,87,1,0,8.0,1,88.06818181818183,100.0,49
2012,Brandon Weeden,22,7.976250000000001,QB,9.306352831129532,87,0,0,26.0,1,76.13636363636364,89.79591836734694,49
2012,Brock Osweiler,57,0.315,QB,2.264787810447311,87,0,0,54.0,1,52.27272727272727,63.26530612244898,49
2012,Russell Wilson,75,18.881875,QB,2.7349676068303674,87,1,1,3.0,1,57.95454545454546,73.46938775510205,49
2012,Nick Foles,88,11.845625,QB,2.34989932499304,87,1,0,11.0,1,52.84090909090909,63.26530612244898,49
2012,Kirk Cousins,102,3.81125,QB,0.9972479665420954,87,0,0,35.0,1,19.886363636363637,14.285714285714285,49
2012,Ryan Lindley,185,1.1018750000000002,QB,0.6921382496763273,87,0,0,46.0,1,6.8181818181818175,4.081632653061225,49
2012,B.J. Coleman,243,0.0,QB,2.039169876668266,87,0,0,,1,44.88636363636363,53.06122448979592,49
2012,Chandler Harnish,253,0.0,QB,0.963646851378197,87,0,0,,1,18.75,12.244897959183673,49
2013,EJ Manuel,16,6.0062500000000005,QB,12.318783345218316,98,0,0,28.0,1,87.5,98.33333333333333,60
2013,Geno Smith,39,10.798125,QB,4.569434768005905,98,0,0,20.0,1,69.88636363636364,76.66666666666667,60
2013,Mike Glennon,73,7.7375,QB,4.1467944883306105,98,0,0,26.0,1,65.9090909090909,76.66666666666667,60
2013,Matt Barkley,98,0.05625,QB,2.095155637871923,98,0,0,59.0,1,46.02272727272727,50.0,60
2013,Ryan Nassib,110,0.275625,QB,1.4340134247553702,98,0,0,59.0,1,32.95454545454545,30.0,60
2013,Tyler Wilson,112,0.0,QB,1.3386159713276715,98,0,0,,1,30.681818181818183,30.0,60
2013,Landry Jones,115,0.688125,QB,1.986187314983349,98,0,0,50.0,1,43.75,48.333333333333336,60
2013,Brad Sorensen,221,0.0,QB,2.236917092246343,98,0,0,,1,50.56818181818182,56.666666666666664,60
2013,Zac Dysert,234,0.0,QB,1.340119507150486,98,0,0,,1,31.25,30.0,60
2013,B.J. Daniels,237,0.14625,QB,0.8734154244398656,98,0,0,,1,14.204545454545455,6.666666666666667,60
2013,Sean Renfree,249,0.0,QB,1.9478954974183644,98,0,0,74.0,1,43.18181818181818,48.333333333333336,60
2014,Blake Bortles,3,18.350625,QB,12.868072597597552,109,1,1,4.0,1,89.20454545454545,100.0,71
2014,Johnny Manziel,22,3.340625,QB,10.177201293951155,109,0,0,33.0,1,79.54545454545455,87.32394366197182,71
2014,Teddy Bridgewater,32,11.878125,QB,10.019151896761969,109,0,0,22.0,1,78.97727272727273,87.32394366197182,71
2014,Derek Carr,36,16.8675,QB,8.920533224410294,109,1,0,11.0,1,75.56818181818183,85.91549295774648,71
2014,Jimmy Garoppolo,62,1.505,QB,4.2172590396971525,109,0,0,40.0,1,66.47727272727273,77.46478873239437,71
2014,Logan Thomas,120,0.22625,QB,0.9292672378354516,109,0,0,,1,17.613636363636363,11.267605633802818,71
2014,Tom Savage,135,0.56625,QB,0.3425022379660242,109,0,0,46.0,1,0.5681818181818182,0.0,71
2014,Aaron Murray,163,0.0,QB,0.8207020153693183,109,0,0,,1,11.363636363636363,5.633802816901409,71
2014,A.J. McCarron,164,1.7268750000000002,QB,0.7670699042334886,109,0,0,39.0,1,9.090909090909092,5.633802816901409,71
2014,Zach Mettenberger,178,3.5337500000000004,QB,1.4085510819766145,109,0,0,38.0,1,32.38636363636363,29.577464788732392,71
2014,David Fales,183,0.0275,QB,1.0103190404327131,109,0,0,63.0,1,20.454545454545457,15.492957746478872,71
2014,Keith Wenning,194,0.0,QB,0.4104283838945529,109,0,0,,1,1.1363636363636365,0.0,71
2014,Garrett Gilbert,214,0.0,QB,0.5978025697464607,109,0,0,,1,3.977272727272727,0.0,71
2015,Jameis Winston,1,16.59625,QB,10.66995288944599,122,0,0,13.0,1,81.25,89.28571428571429,84
2015,Marcus Mariota,2,14.7175,QB,13.746031261045,122,0,0,13.0,1,91.47727272727273,100.0,84
2015,Garrett Grayson,75,0.0,QB,5.385957922471202,122,0,0,,1,71.02272727272727,77.38095238095238,84
2015,Sean Mannion,89,0.20125,QB,4.535826020945793,122,0,0,57.0,1,69.31818181818183,76.19047619047619,84
2015,Bryce Petty,103,1.7975,QB,1.887741374379841,122,0,0,42.0,1,42.04545454545455,48.80952380952381,84
2015,Brett Hundley,147,3.88875,QB,1.375493874168083,122,0,0,31.0,1,31.818181818181817,33.33333333333333,84
2015,Trevor Siemian,250,9.9325,QB,0.9524493306852,122,0,0,26.0,1,18.181818181818183,16.666666666666664,84
2016,Jared Goff,1,17.674375,QB,13.557322396220403,129,1,0,7.0,1,90.9090909090909,98.9010989010989,91
2016,Carson Wentz,2,15.49125,QB,14.596803097150165,129,1,1,5.0,1,92.61363636363636,100.0,91
2016,Paxton Lynch,26,1.3493750000000002,QB,9.615693525833873,129,0,0,43.0,1,77.27272727272727,84.61538461538461,91
2016,Christian Hackenberg,51,0.0,QB,2.595504333931214,129,0,0,,1,56.25,64.83516483516483,91
2016,Jacoby Brissett,91,7.319375000000001,QB,3.9931115931849415,129,0,0,20.0,1,64.77272727272727,70.32967032967034,91
2016,Cody Kessler,93,3.614375,QB,3.5716958960561334,129,0,0,32.0,1,62.5,70.32967032967034,91
2016,Connor Cook,100,0.1875,QB,2.379237338669965,129,0,0,58.0,1,53.97727272727273,61.53846153846154,91
2016,Dak Prescott,135,17.899375,QB,2.2594784812958237,129,1,1,6.0,1,51.70454545454546,59.34065934065934,91
2016,Cardale Jones,139,0.054375,QB,1.6682043799885495,129,0,0,60.0,1,38.06818181818182,42.857142857142854,91
2016,Kevin Hogan,162,1.57625,QB,2.0213319781600703,129,0,0,43.0,1,44.31818181818182,50.54945054945055,91
2016,Nate Sudfeld,187,0.3824999999999999,QB,0.7836198605775646,129,0,0,56.0,1,10.227272727272728,8.791208791208792,91
2016,Jake Rudock,191,0.0,QB,1.151782299494187,129,0,0,70.0,1,25.568181818181817,25.274725274725274,91
2016,Brandon Allen,201,0.0,QB,0.8324634126099156,129,0,0,,1,12.5,9.89010989010989,91
2016,Jeff Driskel,207,2.66,QB,1.04036248220947,129,0,0,35.0,1,22.15909090909091,20.87912087912088,91
2016,Brandon Doughty,223,0.0,QB,2.1116528171737228,129,0,0,,1,47.159090909090914,52.74725274725275,91
2017,Mitch Trubisky,2,14.5575,QB,15.626610593823422,144,0,0,15.0,1,94.88636363636364,100.0,106
2017,Patrick Mahomes,10,22.003750000000004,QB,11.955229972888546,144,1,1,1.0,1,86.36363636363636,93.39622641509435,106
2017,Deshaun Watson,12,20.39625,QB,10.80961347507986,144,1,1,4.0,1,82.38636363636364,89.62264150943396,106
2017,DeShone Kizer,52,5.6575,QB,2.7862870645173845,144,0,0,25.0,1,58.52272727272727,67.9245283018868,106
2017,Davis Webb,87,0.0,QB,3.820314493466032,144,0,0,,1,63.63636363636363,70.75471698113208,106
2017,C.J. Beathard,104,5.118125,QB,3.215885075927968,144,0,0,33.0,1,61.93181818181818,69.81132075471697,106
2017,Joshua Dobbs,135,0.025625,QB,2.087169617325266,144,0,0,63.0,1,45.45454545454545,50.0,106
2017,Nathan Peterman,171,0.6993750000000001,QB,0.7303254119236765,144,0,0,50.0,1,7.954545454545454,5.660377358490567,106
2017,Brad Kaaya,215,0.0,QB,1.1757481509173808,144,0,0,,1,26.704545454545453,25.471698113207548,106
2017,Chad Kelly,253,0.0,QB,1.880337532543651,144,0,0,67.0,1,40.909090909090914,45.28301886792453,106
2018,Baker Mayfield,1,15.2725,QB,12.75726015734295,154,0,0,16.0,1,88.63636363636364,95.6896551724138,116
2018,Sam Darnold,3,11.164375,QB,11.576546846100449,154,0,0,27.0,1,85.79545454545455,92.24137931034483,116
2018,Josh Allen,7,21.394375000000004,QB,15.071535985368811,154,1,1,1.0,1,93.18181818181817,99.13793103448276,116
2018,Josh Rosen,10,4.090624999999999,QB,14.221865678057496,154,0,0,34.0,1,92.04545454545455,98.27586206896551,116
2018,Lamar Jackson,32,23.389375,QB,9.910239779390412,154,1,1,1.0,1,78.4090909090909,83.62068965517241,116
2018,Mason Rudolph,76,3.97375,QB,2.1338808116533654,154,0,0,30.0,1,48.29545454545455,51.724137931034484,116
2018,Kyle Lauletta,108,0.0,QB,1.8855640121292776,154,0,0,72.0,1,41.47727272727273,43.96551724137931,116
2018,Mike White,171,0.0,QB,0.5766479421174061,154,0,0,,1,3.4090909090909087,1.7241379310344827,116
2018,Luke Falk,199,0.27,QB,1.3271216224454203,154,0,0,53.0,1,30.113636363636363,28.448275862068968,116
2018,Tanner Lee,203,0.0,QB,0.7760292467281474,154,0,0,,1,9.659090909090908,7.758620689655173,116
2018,Danny Etling,219,0.0,QB,0.8793980884513477,154,0,0,,1,14.772727272727273,11.206896551724139,116
2018,Alex McGough,220,0.0,QB,0.8279884774452287,154,0,0,,1,11.931818181818182,9.482758620689655,116
2018,Logan Woodside,249,0.04,QB,1.1624416956332333,154,0,0,74.0,1,26.136363636363637,24.137931034482758,116
2019,Kyler Murray,1,20.750625,QB,17.345372583380062,167,1,1,3.0,1,98.86363636363636,100.0,129
2019,Daniel Jones,6,12.343749999999998,QB,13.54849356069914,167,0,0,24.0,1,90.3409090909091,95.34883720930233,129
2019,Dwayne Haskins,15,4.526875,QB,9.839226741108918,167,0,0,35.0,1,77.8409090909091,81.3953488372093,129
2019,Drew Lock,42,7.79125,QB,3.042679075947283,167,0,0,23.0,1,60.79545454545454,66.66666666666666,129
2019,Will Grier,100,0.04125,QB,1.890333265481974,167,0,0,59.0,1,42.61363636363637,45.73643410852713,129
2019,Ryan Finley,104,1.369375,QB,1.0387921991714566,167,0,0,46.0,1,21.59090909090909,20.155038759689923,129
2019,Jarrett Stidham,133,0.404375,QB,3.85166359302172,167,0,0,54.0,1,64.20454545454545,69.76744186046511,129
2019,Easton Stick,166,0.0,QB,1.447113587964734,167,0,0,79.0,1,33.52272727272727,34.10852713178294,129
2019,Clayton Thorson,167,0.0,QB,0.6745192727243025,167,0,0,,1,5.681818181818182,3.875968992248062,129
2019,Gardner Minshew,178,12.184375000000005,QB,0.7287017071780739,167,0,0,19.0,1,7.386363636363637,5.426356589147287,129
2019,Trace McSorley,197,0.2937499999999999,QB,1.0104992723630546,167,0,0,59.0,1,21.022727272727273,20.155038759689923,129
2020,Joe Burrow,1,19.55705882352941,QB,15.893569007682084,178,1,1,4.0,1,96.5909090909091,99.28571428571429,140
2020,Tua Tagovailoa,5,12.112941176470589,QB,16.02324038314265,178,0,0,15.0,1,97.72727272727273,99.28571428571429,140
2020,Justin Herbert,6,21.60007352941177,QB,15.453865813222848,178,1,1,2.0,1,94.31818181818183,98.57142857142858,140
2020,Jordan Love,26,0.9658823529411764,QB,9.396919365647731,178,0,0,51.0,1,76.70454545454545,80.0,140
2020,Jalen Hurts,53,20.3,QB,6.2029971974949625,178,1,1,3.0,1,73.29545454545455,76.42857142857142,140
2020,Jacob Eason,122,0.0105882352941176,QB,0.8511888013529232,178,0,0,78.0,1,13.068181818181818,12.142857142857142,140
2020,James Morgan,125,0.0,QB,0.5684180606740734,178,0,0,,1,2.272727272727273,1.4285714285714286,140
2020,Jake Fromm,167,0.3205882352941177,QB,1.2391188649240643,178,0,0,59.0,1,28.40909090909091,28.57142857142857,140
2020,Jake Luton,189,0.8831249999999999,QB,0.5301240279480094,178,0,0,45.0,1,1.7045454545454544,1.4285714285714286,140
2020,Ben DiNucci,231,0.2175,QB,0.5706075587137323,178,0,0,64.0,1,2.840909090909091,1.4285714285714286,140
2020,Tommy Stevens,240,0.075,QB,2.917169536684836,178,0,0,67.0,1,59.65909090909091,65.71428571428571,140
2020,Nate Stanley,244,0.0,QB,0.6247711932944874,178,0,0,,1,4.545454545454546,2.857142857142857,140
2021,Trevor Lawrence,1,16.416470588235295,QB,18.09059644082,190,1,0,7.0,1,100.0,100.0,152
2021,Zach Wilson,2,7.994117647058823,QB,15.089573318515932,190,0,0,29.0,1,93.75,96.71052631578947,152
2021,Trey Lance,3,2.2758823529411765,QB,15.884434907495958,190,0,0,39.0,1,95.45454545454545,98.02631578947368,152
2021,Justin Fields,11,15.475294117647058,QB,17.82503974269056,190,1,1,6.0,1,99.43181818181817,100.0,152
2021,Mac Jones,15,11.618235294117648,QB,13.10390327758246,190,0,0,18.0,1,89.77272727272727,92.76315789473685,152
2021,Kyle Trask,64,0.0270588235294117,QB,4.478410646513077,190,0,0,75.0,1,68.75,71.71052631578947,152
