position,current_player,current_draft_pick,comp_rank,comp_player,comp_draft_year,comp_draft_pick,feature_space_distance,comp_prospect_model_score,comp_prospect_model_percentile,comp_primary_ppg,comp_hit3,comp_star3,comp_best_rank3
QB,Fernando Mendoza,1,1,Trevor Lawrence,2021,1,0.5048453080896275,18.09059644082,100.0,16.416470588235295,1,0,7.0
QB,Fernando Mendoza,1,2,Zach Wilson,2021,2,0.5847949405175663,15.089573318515932,93.75,7.994117647058823,0,0,29.0
QB,Fernando Mendoza,1,3,Jared Goff,2016,1,0.5944028168449703,13.557322396220403,90.9090909090909,17.674375,1,0,7.0
QB,Fernando Mendoza,1,4,Cam Newton,2011,1,0.5972536661978127,10.785132008576232,81.81818181818183,21.74375,1,1,3.0
QB,Fernando Mendoza,1,5,Mitch Trubisky,2017,2,0.606821037198496,15.626610593823422,94.88636363636364,14.5575,0,0,15.0
QB,Ty Simpson,13,1,Jacob Eason,2020,122,0.8259944921706285,0.8511888013529232,13.068181818181818,0.0105882352941176,0,0,78.0
QB,Ty Simpson,13,2,Brock Osweiler,2012,57,0.8759533498027379,2.264787810447311,52.27272727272727,0.315,0,0,54.0
QB,Ty Simpson,13,3,Mark Sanchez,2009,5,0.9201770253785992,8.110223125793208,73.86363636363636,13.73125,1,0,10.0
QB,Ty Simpson,13,4,Ryan Nassib,2013,110,0.9249133019120979,1.4340134247553702,32.95454545454545,0.275625,0,0,59.0
QB,Ty Simpson,13,5,Will Levis,2023,33,0.9429443059479012,11.430089599371223,84.0909090909091,6.528235294117646,0,0,30.0
QB,Carson Beck,65,1,Ryan Finley,2019,104,0.8888877517768187,1.0387921991714566,21.59090909090909,1.369375,0,0,46.0
QB,Carson Beck,65,2,Mason Rudolph,2018,76,0.9595792062147395,2.1338808116533654,48.29545454545455,3.97375,0,0,30.0
QB,Carson Beck,65,3,Will Grier,2019,100,0.9778353219544723,1.890333265481974,42.61363636363637,0.04125,0,0,59.0
QB,Carson Beck,65,4,Jarrett Stidham,2019,133,1.0160266361687795,3.85166359302172,64.20454545454545,0.404375,0,0,54.0
QB,Carson Beck,65,5,Kevin Hogan,2016,162,1.0230186994049437,2.0213319781600703,44.31818181818182,1.57625,0,0,43.0
QB,Drew Allar,76,1,Jimmy Garoppolo,2014,62,0.5123219563964044,4.2172590396971525,66.47727272727273,1.505,0,0,40.0
QB,Drew Allar,76,2,Tarvaris Jackson,2006,64,0.5181056146204663,,,6.64625,0,0,20.0
QB,Drew Allar,76,3,Drew Lock,2019,42,0.5600123122011771,3.042679075947283,60.79545454545454,7.79125,0,0,23.0
QB,Drew Allar,76,4,Kyle Lauletta,2018,108,0.570935054657823,1.8855640121292776,41.47727272727273,0.0,0,0,72.0
QB,Drew Allar,76,5,John Skelton,2010,155,0.5761009273427603,1.6843740025070228,38.63636363636363,4.271875,0,0,29.0
QB,Cade Klubnik,110,1,Kevin Hogan,2016,162,0.5192502740583028,2.0213319781600703,44.31818181818182,1.57625,0,0,43.0
QB,Cade Klubnik,110,2,Brock Purdy,2022,262,0.5770822005743855,2.359973056372316,53.40909090909091,16.542941176470592,1,1,6.0
QB,Cade Klubnik,110,3,Zac Robinson,2010,250,0.6032244858418172,1.20505391676589,27.27272727272727,0.0,0,0,
QB,Cade Klubnik,110,4,Kyle Lauletta,2018,108,0.6043362476386087,1.8855640121292776,41.47727272727273,0.0,0,0,72.0
QB,Cade Klubnik,110,5,John Skelton,2010,155,0.6076790887038219,1.6843740025070228,38.63636363636363,4.271875,0,0,29.0
QB,Cole Payton,178,1,Easton Stick,2019,166,0.019336358299750712,1.447113587964734,33.52272727272727,0.0,0,0,79.0
QB,Cole Payton,178,2,Ingle Martin,2006,148,0.04185897280418159,,,0.0,0,0,73.0
QB,Cole Payton,178,3,Keith Null,2009,196,0.050429812530158644,2.4317096258196864,55.11363636363637,0.46625,0,0,51.0
QB,Cole Payton,178,4,Kyle Lauletta,2018,108,0.10592129504703804,1.8855640121292776,41.47727272727273,0.0,0,0,72.0
QB,Cole Payton,178,5,Tyler Thigpen,2007,217,0.11064576870071613,,,6.913749999999999,1,0,10.0
QB,Taylen Green,182,1,Jeff Driskel,2016,207,1.3211005188279354,1.04036248220947,22.15909090909091,2.66,0,0,35.0
QB,Taylen Green,182,2,Will Levis,2023,33,1.3477169175269506,11.430089599371223,84.0909090909091,6.528235294117646,0,0,30.0
QB,Taylen Green,182,3,B.J. Daniels,2013,237,1.407549995660602,0.8734154244398656,14.204545454545457,0.14625,0,0,
QB,Taylen Green,182,4,Malik Willis,2022,86,1.4082950472425673,5.109003667928539,70.45454545454545,2.0923529411764705,0,0,44.0
QB,Taylen Green,182,5,Matt Corral,2022,94,1.433066045263831,4.414914455253246,67.04545454545455,0.0,0,0,
