position,pfr_name,feature_coverage,mean_5nn_distance,neighbor_density_percentile,model_confidence_score,model_confidence,out_of_distribution_flag,nearest5_historical_hit_rate,nearest5_historical_star_rate,nearest5_historical_primary_ppg_mean,closest_historical_comps,closest_comp_1,closest_comp_2,closest_comp_3,similarity_feature_count,historical_reference_n
QB,Fernando Mendoza,1.0,0.5776235537696945,69.62616822429906,78.73831775700934,High,0,0.6,0.2,15.677242647058824,Trevor Lawrence (2021); Zach Wilson (2021); Jared Goff (2016); Cam Newton (2011); Mitch Trubisky (2017),Trevor Lawrence (2021),Zach Wilson (2021),Jared Goff (2016),107,214
QB,Ty Simpson,1.0,0.8979964950423931,16.822429906542055,41.77570093457944,Medium,0,0.2,0.0,4.172139705882353,Jacob Eason (2020); Brock Osweiler (2012); Mark Sanchez (2009); Ryan Nassib (2013); Will Levis (2023),Jacob Eason (2020),Brock Osweiler (2012),Mark Sanchez (2009),107,214
QB,Carson Beck,0.9813084112149533,0.9730695231039508,11.214953271028037,37.28971962616822,Medium,0,0.0,0.0,1.4729999999999999,Ryan Finley (2019); Mason Rudolph (2018); Will Grier (2019); Jarrett Stidham (2019); Kevin Hogan (2016),Ryan Finley (2019),Mason Rudolph (2018),Will Grier (2019),107,214
QB,Drew Allar,1.0,0.5474951730437262,77.57009345794393,84.29906542056074,High,0,0.0,0.0,4.042875,Jimmy Garoppolo (2014); Tarvaris Jackson (2006); Drew Lock (2019); Kyle Lauletta (2018); John Skelton (2010),Jimmy Garoppolo (2014),Tarvaris Jackson (2006),Drew Lock (2019),107,214
QB,Cade Klubnik,1.0,0.5823144593633872,69.1588785046729,78.41121495327103,High,0,0.2,0.2,4.478213235294119,Kevin Hogan (2016); Brock Purdy (2022); Zac Robinson (2010); Kyle Lauletta (2018); John Skelton (2010),Kevin Hogan (2016),Brock Purdy (2022),Zac Robinson (2010),107,214
QB,Cole Payton,0.07476635514018691,0.06563844147636902,100.0,72.24299065420561,Low,1,0.2,0.0,1.4759999999999998,Easton Stick (2019); Ingle Martin (2006); Keith Null (2009); Kyle Lauletta (2018); Tyler Thigpen (2007),Easton Stick (2019),Ingle Martin (2006),Keith Null (2009),107,214
QB,Taylen Green,1.0,1.3835457049043771,4.205607476635514,32.94392523364486,Low,1,0.0,0.0,2.2853676470588233,Jeff Driskel (2016); Will Levis (2023); B.J. Daniels (2013); Malik Willis (2022); Matt Corral (2022),Jeff Driskel (2016),Will Levis (2023),B.J. Daniels (2013),107,214
QB,Athan Kaliakmanis,1.0,0.5865124613305468,69.1588785046729,78.41121495327103,High,0,0.2,0.0,2.627125,Danny Etling (2018); Tyler Thigpen (2007); Ryan Fitzpatrick (2005); Keith Null (2009); John Skelton (2010),Danny Etling (2018),Tyler Thigpen (2007),Ryan Fitzpatrick (2005),107,214
QB,Behren Morton,1.0,0.6426066036730749,52.336448598130836,66.63551401869158,Medium,0,0.0,0.0,0.514625,James Morgan (2020); Curtis Painter (2009); Danny Etling (2018); Luke Falk (2018); Rusty Smith (2010),James Morgan (2020),Curtis Painter (2009),Danny Etling (2018),107,214
QB,Garrett Nussmeier,1.0,0.7261564179187834,34.112149532710276,53.87850467289719,Medium,0,0.0,0.0,0.15736764705882353,Jake Fromm (2020); Brad Kaaya (2017); James Morgan (2020); Brad Sorensen (2013); Keith Null (2009),Jake Fromm (2020),Brad Kaaya (2017),James Morgan (2020),107,214
