position,pfr_name,feature_family,family_feature_count,family_hit_feature_count,base_pred_best2of3_ppg,neutralized_pred_best2of3_ppg,score_delta_ppg,base_hit_probability,neutralized_hit_probability,hit_delta_pp,direction_conflict,abs_score_delta_ppg,abs_hit_delta_pp
QB,Fernando Mendoza,Age / experience,10,10,16.07838786703899,16.114611709159174,-0.036223842120183036,0.4858231842517853,0.48832017183303833,-0.24969875812530518,0,0.036223842120183036,0.24969875812530518
QB,Fernando Mendoza,Draft capital,7,7,16.07838786703899,3.5170669720467513,12.561320894992239,0.4858231842517853,0.09015706181526184,39.566612243652344,0,12.561320894992239,39.566612243652344
QB,Fernando Mendoza,Passing production,66,66,16.07838786703899,14.835480910785744,1.2429069562532469,0.4858231842517853,0.3694313168525696,11.63918673992157,0,1.2429069562532469,11.63918673992157
QB,Fernando Mendoza,Rushing production,24,24,16.07838786703899,15.082066565081849,0.996321301957142,0.4858231842517853,0.4451546370983124,4.06685471534729,0,0.996321301957142,4.06685471534729
QB,Ty Simpson,Age / experience,10,10,13.029138068869283,13.026044860769376,0.0030932080999068745,0.4321836233139038,0.4321836233139038,0.0,0,0.0030932080999068745,0.0
QB,Ty Simpson,Draft capital,7,7,13.029138068869283,2.242000090811161,10.787137978058123,0.4321836233139038,0.0745776891708374,35.76059341430664,0,10.787137978058123,35.76059341430664
QB,Ty Simpson,Passing production,66,66,13.029138068869283,12.386577221078975,0.6425608477903086,0.4321836233139038,0.39370906352996826,3.8474559783935547,0,0.6425608477903086,3.8474559783935547
QB,Ty Simpson,Rushing production,24,24,13.029138068869283,11.809144861265086,1.2199932076041975,0.4321836233139038,0.3684335947036743,6.375002861022949,0,1.2199932076041975,6.375002861022949
QB,Carson Beck,Age / experience,10,10,6.6289831078224655,6.56381639568761,0.06516671213485559,0.05893855169415474,0.05893855169415474,0.0,0,0.06516671213485559,0.0
QB,Carson Beck,Draft capital,7,7,6.6289831078224655,4.700712979589397,1.928270128233068,0.05893855169415474,0.057997338473796844,0.09412132203578949,0,1.928270128233068,0.09412132203578949
QB,Carson Beck,Passing production,66,66,6.6289831078224655,3.1004746786121804,3.528508429210285,0.05893855169415474,0.0564764030277729,0.2462148666381836,0,3.528508429210285,0.2462148666381836
QB,Carson Beck,Rushing production,24,24,6.6289831078224655,6.5313526590217315,0.09763044880073402,0.05893855169415474,0.05310989171266556,0.5828659981489182,0,0.09763044880073402,0.5828659981489182
QB,Drew Allar,Age / experience,10,10,3.798320480793714,3.8041299965197015,-0.005809515725987424,0.10031462460756302,0.10031462460756302,0.0,0,0.005809515725987424,0.0
QB,Drew Allar,Draft capital,7,7,3.798320480793714,1.3262070145109717,2.4721134662827424,0.10031462460756302,0.0973062664270401,0.30083581805229187,0,2.4721134662827424,0.30083581805229187
