position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error,complete_match
RB,star3,hist,group__capital,6,hist_exact,86,86,0.07258556725724229,0.041502917792097194,0.28878279664092504,0.7521245670605874,0.6236801814635716,,True
RB,star3,hist,group__full,1642,hist_exact,86,86,0.08591333890501184,0.05325177886568568,0.28970124900931793,0.7639909300351063,0.6190763715269588,,True
RB,star3,hist,orig__capital_plus_top8,1126,hist_exact,86,86,0.08591333890501184,0.05325177886568568,0.28970124900931793,0.7639909300351063,0.6190763715269588,,True
RB,star3,hist,group__capital_production,730,hist_exact,86,86,0.09046827282067783,0.05138383162190169,0.3568014355987394,0.7590746750721015,0.6010377848011699,,True
RB,star3,hist,group__capital_prod_context,1630,hist_exact,86,86,0.09153874417784681,0.05619082986099559,0.316413901851713,0.7571247677025184,0.6545686117269682,,True
RB,star3,hist,group__college_only,1624,hist_exact,86,86,0.10121484316891065,0.06035549043684703,0.3855564200979542,0.6403376283013648,0.5585074767677721,,True
RB,star3,hist,stage3__features,113,hist_exact,86,86,0.1029354276392876,0.054724149964108855,0.4013254588719402,0.6179628099571106,0.6199632058115949,,True
RB,star3,hist,group__capital_core,206,hist_exact,86,86,0.10316360120871652,0.052295567510133825,0.4024483143720391,0.6411111479965906,0.6902684088872117,,True
RB,star3,hist,ranked_top64,64,hist_exact,86,86,0.10891515920845316,0.057606074457252146,0.4539448839028562,0.79071919809959,0.5828592455256296,,True
RB,star3,hist,ranked_top96,96,hist_exact,86,86,0.1114593086807951,0.05982008844212069,0.47633167700895257,0.7872817826917192,0.552205292702486,,True
RB,star3,hist,draftcap_plus_top96,102,hist_exact,86,86,0.11749882985377721,0.06195287200790352,0.49277331450731493,0.7746483046622483,0.51893957262135,,True
RB,star3,hist,draftcap_plus_top32,38,hist_exact,86,86,0.12032362894419571,0.06094583543032494,0.5939225464986552,0.7695733888034011,0.6163396812685847,,True
RB,star3,hist,draftcap_plus_top64,70,hist_exact,86,86,0.1229019738627958,0.0629612681318149,0.599561845969597,0.7440658054223281,0.5860021038892685,,True
RB,star3,hist,ranked_top4,4,hist_exact,86,86,0.1237438086274368,0.0698151099531611,0.5899582044635554,0.6848233356381485,0.5692100073459055,,True
RB,star3,hist,draftcap_plus_top48,54,hist_exact,86,86,0.12624641132430112,0.06627087078092117,0.5035504027268376,0.7742859247313725,0.5576070343852518,,True
RB,star3,hist,ranked_top48,48,hist_exact,86,86,0.12732372104826822,0.0656869172235668,0.5741214970353233,0.7668084121264022,0.5502224193543942,,True
RB,star3,hist,ranked_top32,32,hist_exact,86,86,0.1332618757118019,0.06633672547792123,0.645483116762456,0.7428220385927857,0.5718410057755986,,True
RB,star3,hist,draftcap_plus_top12,18,hist_exact,86,86,0.13543582905991472,0.07171414546431835,0.5104327573413755,0.7337066442802815,0.5920852147032093,,True
RB,star3,hist,draftcap_plus_top16,22,hist_exact,86,86,0.13566103881319652,0.06926680475295209,0.5623305149374102,0.7653476494084377,0.5940522139173618,,True
RB,star3,hist,draftcap_plus_top24,30,hist_exact,86,86,0.1375818258129621,0.0689130700643066,0.6836361599686309,0.7240231045936185,0.5861197073824848,,True
RB,star3,hist,ranked_top16,16,hist_exact,86,86,0.1405288026642948,0.07315648119645866,0.5208828642529294,0.7227659684234563,0.5833164298283592,,True
RB,star3,hist,ranked_top24,24,hist_exact,86,86,0.14345996201210084,0.07169460813116076,0.6958835518856014,0.7485974782385807,0.5885866060694027,,True
RB,star3,hist,draftcap_plus_top8,14,hist_exact,86,86,0.14359039314430297,0.07454408377602456,0.5673221862107996,0.706996873095627,0.599125385868382,,True
RB,star3,hist,ranked_top12,12,hist_exact,86,86,0.14563712124679037,0.0743913339946359,0.6456171566812815,0.7170738407887443,0.6024635232350051,,True
RB,star3,hist,ranked_top8,8,hist_exact,86,86,0.14818227841635087,0.0768888183146528,0.6942049730268978,0.7423214753418365,0.5956869604285501,,True
