position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error,complete_match
TE,star3,logit,draftcap_plus_top64,70,logit_exact,58,58,0.1729515091809477,0.08730805843640453,0.917222892870254,0.35621440298494306,0.2771232581746594,,True
TE,star3,logit,draftcap_plus_top24,30,logit_exact,58,58,0.17621126786096666,0.09537915096850161,0.9092753804301897,0.5123485581176148,0.23036697529914793,,True
TE,star3,logit,ranked_top64,64,logit_exact,58,58,0.17736362637959993,0.09427710403823887,0.9139228361710787,0.3539120704992782,0.26801808729890186,,True
TE,star3,logit,ranked_top48,48,logit_exact,58,58,0.17760096247946122,0.09674729083818595,0.9130526812345776,0.44053728328254355,0.2268602540834846,,True
TE,star3,logit,ranked_top24,24,logit_exact,58,58,0.1782525203999229,0.0992037705354243,0.9069823222148843,0.5247802520220739,0.26900243009628105,,True
TE,star3,logit,draftcap_plus_top48,54,logit_exact,58,58,0.179366462321576,0.09614946264087619,0.9167555784954815,0.4132404406024568,0.1868098065151189,,True
TE,star3,logit,draftcap_plus_top16,22,logit_exact,58,58,0.1871134888376569,0.1018635587997326,0.9088047499674461,0.47430224958071193,0.23867236765203484,,True
TE,star3,logit,draftcap_plus_top32,38,logit_exact,58,58,0.18928292001763133,0.10232448711378368,0.9197982635641373,0.4699570319284261,0.196099541665385,,True
TE,star3,logit,ranked_top32,32,logit_exact,58,58,0.19297533434210026,0.10656533035949464,0.9145158728687973,0.45389190526699585,0.21430988341689997,,True
TE,star3,logit,draftcap_plus_top96,102,logit_exact,58,58,0.20669879853705142,0.10839922790169935,0.9205158713249311,0.20143504441736484,0.27158632993940146,,True
TE,star3,logit,ranked_top96,96,logit_exact,58,58,0.21337224195797178,0.11273976394031962,0.9159325030261629,0.1899572082887322,0.2933649143314159,,True
TE,star3,logit,ranked_top16,16,logit_exact,58,58,0.21703316702966566,0.12836782515561063,0.9026632110160663,0.42204998233796304,0.26623396597865207,,True
TE,star3,logit,draftcap_plus_top12,18,logit_exact,58,58,0.22468881511377864,0.1296171169797267,0.9078141981337033,0.41751592711606816,0.27041742286751363,,True
TE,star3,logit,group__capital_prod_context,1630,logit_exact,58,58,0.23268564319346302,0.13138358528328614,0.8268103499736437,0.08564482748717983,0.17548986434525823,,True
TE,star3,logit,orig__capital_plus_top8,598,logit_exact,58,58,0.23389926354786064,0.12176131093726654,0.8428965099842678,0.04357434151193244,0.30025531391307025,,True
TE,star3,logit,group__full,1642,logit_exact,58,58,0.23389926718515708,0.12176130637962135,0.8428965183567689,0.04357434154752919,0.30025531391307025,,True
TE,star3,logit,stage3__features_b,833,logit_exact,58,58,0.2506580626366006,0.1398927506239787,0.8280870443740974,0.07465336722188004,0.20095973422744473,,True
TE,star3,logit,stage3__union,833,logit_exact,58,58,0.2506580626645889,0.13989275070391213,0.8280870447849734,0.07465336764770716,0.20095973422744473,,True
TE,star3,logit,group__college_only,1624,logit_exact,58,58,0.25890725485979993,0.14365415026908607,0.9244091186116571,0.08262528043083912,0.17702789996616325,,True
TE,star3,logit,group__capital_production,730,logit_exact,58,58,0.2594776872140616,0.1425825863604384,0.8817813230223516,0.315898634018941,0.2434095173644222,,True
TE,star3,logit,ranked_top12,12,logit_exact,58,58,0.259505064385444,0.1507533743711956,0.8465544157731113,0.40934327387024055,0.2883816789196838,,True
TE,star3,logit,draftcap_plus_top8,14,logit_exact,58,58,0.29049757622416816,0.18366940895963504,0.8963924893072646,0.4082134745212233,0.24507059583499957,,True
TE,star3,logit,ranked_top8,8,logit_exact,58,58,0.29563133505502415,0.18810407613358582,0.8404068759929361,0.4242224408914999,0.3134824202528531,,True
TE,star3,logit,group__capital_core,254,logit_exact,58,58,0.2997511234241702,0.19355865828072638,0.7646992958920932,0.2762942484444613,0.3383985973115138,,True
TE,star3,logit,stage3__features,137,logit_exact,58,58,0.30391510146570777,0.2068682193516923,0.8185222351214878,0.24054507352005483,0.25386815958657605,,True
