position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error,complete_match
WR,hit3,logit,group__capital,6,logit_exact,126,126,0.2168278748763631,0.18595767840975863,0.5003440064359281,0.9726721365662352,0.9590731158605175,,True
WR,hit3,logit,group__capital_core,242,logit_exact,126,126,0.2365263968569072,0.17826821161639148,0.6027503252193346,0.7665575277591501,0.7536587926509186,,True
WR,hit3,logit,group__capital_production,730,logit_exact,126,126,0.27144011471827634,0.20295053730992457,0.8866690900732951,0.5325129136629465,0.6179137607799026,,True
WR,hit3,logit,draftcap_plus_top4,10,logit_exact,126,126,0.27460135081980214,0.198931134636742,0.8171000769881032,0.7154804693411788,0.7386246719160106,,True
WR,hit3,logit,stage3__features,371,logit_exact,126,126,0.27979146512360853,0.20462461477804356,0.7473301395241388,0.6925117179492102,0.6590746156730408,,True
WR,hit3,logit,ranked_top8,8,logit_exact,126,126,0.28007139072828013,0.20223902098288524,0.8398204868521051,0.6950231083123546,0.7454938132733409,,True
WR,hit3,logit,ranked_top4,4,logit_exact,126,126,0.28212595808090124,0.18967929786758211,0.8059927336117699,0.7450543894780776,0.8262437195350583,,True
WR,hit3,logit,orig__capital_plus_top8,594,logit_exact,126,126,0.28265494531874813,0.2177572271292658,0.8850037109128103,0.4839996874300592,0.5491083614548181,,True
WR,hit3,logit,draftcap_plus_top12,18,logit_exact,126,126,0.2834175342529217,0.21464284866543426,0.8019676861397611,0.6544759939002569,0.6931983502062243,,True
WR,hit3,logit,draftcap_plus_top8,14,logit_exact,126,126,0.28352772667978704,0.21211010270524427,0.8162423569957137,0.6569028753345115,0.7232425946756657,,True
WR,hit3,logit,group__full,1642,logit_exact,126,126,0.284208394647087,0.21732042144725616,0.8798182227252769,0.46141332532764806,0.5360179977502812,,True
WR,hit3,logit,orig__capital_plus_top16,598,logit_exact,126,126,0.284340983731074,0.21749538928215864,0.8798182215188065,0.46105648479052186,0.5362879640044994,,True
WR,hit3,logit,draftcap_plus_top16,22,logit_exact,126,126,0.2844405377649127,0.216431984478477,0.7984213904376608,0.6462339387481345,0.6828256467941508,,True
WR,hit3,logit,draftcap_plus_top96,102,logit_exact,126,126,0.2862204872333042,0.2174737255715778,0.854885581852036,0.6007494450257486,0.642084739407574,,True
WR,hit3,logit,group__capital_prod_context,1630,logit_exact,126,126,0.2869041554200012,0.22105959530174984,0.8820247015091699,0.4950244644943683,0.5530198725159355,,True
WR,hit3,logit,ranked_top16,16,logit_exact,126,126,0.28766205819988255,0.21753085379070602,0.8298206841683949,0.6379678134539788,0.7102842144731909,,True
WR,hit3,logit,draftcap_plus_top24,30,logit_exact,126,126,0.28771397179643865,0.21922001437930244,0.8221227664247822,0.6280219298859437,0.6661957255343083,,True
WR,hit3,logit,ranked_top12,12,logit_exact,126,126,0.28797271303409916,0.21491248426528464,0.8407234036882499,0.6394170064615579,0.7364049493813274,,True
WR,hit3,logit,ranked_top24,24,logit_exact,126,126,0.29025841883676495,0.21973682741039238,0.8429971364968709,0.6288411773038195,0.6829996250468692,,True
WR,hit3,logit,ranked_top96,96,logit_exact,126,126,0.2904370005717218,0.21987356037113065,0.8675750836888271,0.5960779228027864,0.6436025496812899,,True
WR,hit3,logit,draftcap_plus_top64,70,logit_exact,126,126,0.29085779525683664,0.21930499393355524,0.8615735870855595,0.6496765284099422,0.6986996625421823,,True
WR,hit3,logit,draftcap_plus_top48,54,logit_exact,126,126,0.2922338695443502,0.22209860097903836,0.863580641577333,0.6492021391344072,0.696599925009374,,True
WR,hit3,logit,group__college_only,1624,logit_exact,126,126,0.2927956493880369,0.22665029770810038,0.8849296315560937,0.46794609490143296,0.5334743157105363,,True
WR,hit3,logit,ranked_top64,64,logit_exact,126,126,0.2929240585455156,0.221813154559959,0.8725233083458802,0.6442640264808396,0.6950341207349081,,True
WR,hit3,logit,ranked_top32,32,logit_exact,126,126,0.2943040437178702,0.22270342002596258,0.8564748424880098,0.6165364437765772,0.6732088488938883,,True
