position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error,complete_match
WR,star3,logit,group__capital_production,730,logit_exact,126,126,0.2437954700513445,0.16559514147035415,0.9163215972205578,0.340828378405818,0.39147806524184486,,True
WR,star3,logit,stage3__features,371,logit_exact,126,126,0.26297650226365554,0.17491821271964464,0.8193487371351689,0.5276867030034494,0.5130648668916385,,True
WR,star3,logit,draftcap_plus_top96,102,logit_exact,126,126,0.26531664196312604,0.17169179958682895,0.819619193425013,0.45309153963702214,0.5235275590551182,,True
WR,star3,logit,orig__capital_plus_top8,594,logit_exact,126,126,0.271595316651645,0.18046208633714808,0.9321781190195187,0.09795405728388551,0.2307461567304087,,True
WR,star3,logit,group__full,1642,logit_exact,126,126,0.27181827994830554,0.18129929109346463,0.9232203177532015,0.10977805999542568,0.2158680164979378,,True
WR,star3,logit,orig__capital_plus_top16,598,logit_exact,126,126,0.27189542726395804,0.18135629836032224,0.9232109494230353,0.10954511248771202,0.2154180727409074,,True
WR,star3,logit,ranked_top96,96,logit_exact,126,126,0.2739032423830315,0.17626758354006308,0.8176409877379911,0.42193054174725014,0.4910596175478066,,True
WR,star3,logit,group__capital_core,242,logit_exact,126,126,0.2750316745865051,0.18681841123029544,0.821940294949715,0.5254618051475906,0.48687214098237724,,True
WR,star3,logit,group__capital_prod_context,1630,logit_exact,126,126,0.2847193105478788,0.183180901344051,0.9675935185623897,0.11924441590924863,0.2350236220472441,,True
WR,star3,logit,group__college_only,1624,logit_exact,126,126,0.286676810228057,0.18613323131528905,0.9701462163885746,0.1179140279194252,0.24540232470941137,,True
WR,star3,logit,draftcap_plus_top64,70,logit_exact,126,126,0.2886392098655317,0.18771038286321748,0.8165067434615803,0.5054359597325537,0.5526479190101238,,True
WR,star3,logit,draftcap_plus_top48,54,logit_exact,126,126,0.29108714089411464,0.18848070989195448,0.8171314042035158,0.5039373208309484,0.5714435695538058,,True
WR,star3,logit,ranked_top64,64,logit_exact,126,126,0.2926457041015645,0.19219522291302496,0.8157167698916554,0.4800776947218829,0.5345841769778779,,True
WR,star3,logit,draftcap_plus_top32,38,logit_exact,126,126,0.2971141541134023,0.19358060580354317,0.8174071587801752,0.5121169184786016,0.5788106486689165,,True
WR,star3,logit,ranked_top48,48,logit_exact,126,126,0.30382714565139957,0.1987608073700532,0.8173487526830685,0.4834228049288202,0.5544956880389951,,True
WR,star3,logit,draftcap_plus_top24,30,logit_exact,126,126,0.31587026492303727,0.21145240033173834,0.816045024853002,0.5405938200658098,0.5661642294713161,,True
WR,star3,logit,ranked_top24,24,logit_exact,126,126,0.3175273031484787,0.2143826314017455,0.8170848820362044,0.5302108317351482,0.5464566929133859,,True
WR,star3,logit,draftcap_plus_top12,18,logit_exact,126,126,0.320318980341709,0.2063791058133191,0.8454897863357287,0.5373994182820636,0.5760869891263593,,True
WR,star3,logit,ranked_top8,8,logit_exact,126,126,0.3210343386309363,0.20890306054862767,0.8659521226863749,0.5109525813982728,0.5810723659542558,,True
WR,star3,logit,draftcap_plus_top16,22,logit_exact,126,126,0.3212836096038316,0.2120800083114179,0.8514786123266584,0.5389655340673017,0.5785646794150732,,True
WR,star3,logit,draftcap_plus_top8,14,logit_exact,126,126,0.3214192858769558,0.20847193208678383,0.830476212952094,0.5136206509623074,0.5647124109486314,,True
WR,star3,logit,ranked_top12,12,logit_exact,126,126,0.32174890634994835,0.2096112706470256,0.868760229745703,0.4974114771206536,0.5351781027371578,,True
WR,star3,logit,ranked_top32,32,logit_exact,126,126,0.32180379593781333,0.21783970934666946,0.8181815035507531,0.5169174642214002,0.5354480689913761,,True
WR,star3,logit,ranked_top16,16,logit_exact,126,126,0.32184583241614034,0.21335520339129654,0.8682578128335939,0.5250703936038427,0.5511061117360331,,True
WR,star3,logit,draftcap_plus_top4,10,logit_exact,126,126,0.3232833858949403,0.2076724576774738,0.8512051074722676,0.5241991381904824,0.5728293963254594,,True
