position,target,family,feature_set,n_features_listed,model_spec,reference_n,matched_n,rmse,mae,max_abs,pearson,spearman,error
RB,hit3,cat,group__capital,6,cat3_unweighted,86,86,0.1735461750375548,0.10000939110388063,0.5847132690240291,0.7095399670191308,0.7213555548939923,
RB,hit3,cat,group__capital,6,cat4_unweighted,86,86,0.1721640362438863,0.09827399946964716,0.593478849513149,0.7266520045556152,0.6987598296821649,
RB,hit3,cat,group__capital,6,cat3_balanced,86,86,0.24868619194251754,0.16309541827485396,0.6716152304548153,0.684924930570714,0.6890959267902612,
RB,hit3,cat,group__capital,6,cat4_balanced,86,86,0.2495206106678164,0.17514481210448699,0.6815999699966877,0.6851142960488231,0.7052663358617178,
RB,hit3,cat,group__capital,6,cat3_scaled,86,86,0.24868619194251754,0.16309541827485396,0.6716152304548153,0.684924930570714,0.6890959267902612,
RB,hit3,cat,group__capital,6,cat4_scaled,86,86,0.2495206106678164,0.17514481210448699,0.6815999699966877,0.6851142960488231,0.7052663358617178,
RB,hit3,cat,group__capital,6,cat3_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,group__capital,6,cat4_balanced_imp,86,0,inf,inf,inf,,,"AttributeError(""The following error was raised: 'CatBoostClassifier' object has no attribute '__sklearn_tags__'. It seems that there are no classes that implement `__sklearn_tags__` in the MRO and/or all classes in the MRO call `super().__sklearn_tags__()`. Make sure to inherit from `BaseEstimator` which implements `__sklearn_tags__` (or alternatively define `__sklearn_tags__` but we don't recommend this approach). Note that `BaseEstimator` needs to be on the right side of other Mixins in the inheritance order."")"
RB,hit3,cat,group__capital_core,206,cat3_unweighted,86,86,0.18671263938984317,0.09883728291823947,0.6911736511207093,0.648823404564037,0.6219255625265343,
RB,hit3,cat,group__capital_core,206,cat4_unweighted,86,86,0.17294661282829782,0.09150785423043713,0.6814049447596315,0.7058348200020557,0.6706259729232511,
