season,pfr_id,pfr_name,position,college_match,college_name
2026,MendFe00,Fernando Mendoza,QB,1.0,Indiana; California
2026,LoveJe00,Jeremiyah Love,RB,1.0,Notre Dame
2026,TateCa00,Carnell Tate,WR,1.0,Ohio State
2026,TysoJo00,Jordyn Tyson,WR,1.0,Arizona State; Colorado
2026,SimpTy00,Ty Simpson,QB,1.0,Alabama
2026,SadiKe00,Kenyon Sadiq,TE,1.0,Oregon
2026,LemoMa00,Makai Lemon,WR,1.0,USC
2026,ConcKC00,KC Concepcion,WR,1.0,Texas A&M; N.C. State
2026,CoopOm00,Omar Cooper Jr.,WR,1.0,Indiana
2026,PricJa02,Jadarian Price,RB,1.0,Notre Dame
2026,StriDe01,De'Zhaun Stribling,WR,1.0,
2026,BostDe00,Denzel Boston,WR,1.0,Washington
2026,BernGe00,Germie Bernard,WR,1.0,Alabama; Washington; Michigan State
2026,StowEl00,Eli Stowers,TE,1.0,Vanderbilt; New Mexico State; Texas A&M
2026,BoerNa00,Nate Boerkircher,TE,1.0,Texas A&M; Nebraska
2026,KleiMa00,Marlin Klein,TE,1.0,Michigan
2026,KlarMa00,Max Klare,TE,1.0,Ohio State; Purdue
2026,BeckCa01,Carson Beck,QB,1.0,
2026,RousSa00,Sam Roush,TE,1.0,Stanford
2026,WillAn04,Antonio Williams,WR,1.0,Clemson
2026,DelpOs01,Oscar Delp,TE,1.0,
2026,FielMa00,Malachi Fields,WR,1.0,Notre Dame; Virginia
2026,DougCa00,Caleb Douglas,WR,1.0,Texas Tech; Florida
2026,AllaDr00,Drew Allar,QB,1.0,Penn State
2026,BranZa00,Zachariah Branch,WR,1.0,Georgia; USC
