season,pfr_id,pfr_name,position,college_match,college_name
2005,SmitAl03,Alex Smith,QB,1.0,Utah
2005,BrowRo05,Ronnie Brown,RB,1.0,Auburn
2005,EdwaBr00,Braylon Edwards,WR,1.0,Michigan
2005,BensCe00,Cedric Benson,RB,1.0,Texas
2005,WillCa02,Cadillac Williams,RB,0.0,Auburn
2005,WillTr01,Troy Williamson,WR,1.0,South Carolina
2005,WillMi03,Mike Williams,WR,0.0,USC
2005,JoneMa00,Matt Jones,WR,0.0,Arkansas
2005,ClayMa01,Mark Clayton,WR,1.0,Oklahoma
2005,RodgAa00,Aaron Rodgers,QB,1.0,California; Butte College
2005,CampJa00,Jason Campbell,QB,1.0,Auburn
2005,WhitRo00,Roddy White,WR,1.0,UAB
2005,MillHe00,Heath Miller,TE,1.0,Virginia
2005,BrowRe01,Reggie Brown,WR,1.0,Georgia
2005,BradMa00,Mark Bradley,WR,1.0,Oklahoma; University of Arkansas at Pine Bluff
2005,ArriJ.00,J.J. Arrington,RB,1.0,California; College of the Canyons
2005,ShelEr00,Eric Shelton,RB,1.0,Louisville; Florida State
2005,ParrRo00,Roscoe Parrish,WR,1.0,Miami
2005,MurpTe00,Terrence Murphy,WR,1.0,Texas A&M
2005,JackVi00,Vincent Jackson,WR,0.0,Northern Colorado
2005,GoreFr00,Frank Gore,RB,1.0,Miami
2005,FryeCh00,Charlie Frye,QB,1.0,Akron
2005,RobyCo00,Courtney Roby,WR,1.0,Indiana
2005,WaltAn00,Andrew Walter,QB,1.0,Arizona State
2005,SmitAl02,Alex Smith,TE,1.0,Stanford
