college_season,draft_year_if_final_college_season,source_date,teamrankings_team,team_key,tr_sos_rank,tr_sos_rating,source_url,tr_sos_rank_pct,tr_sos_z
2025,2026,2026-01-20,Indiana,indiana,1,20.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,1.0,2.16056182204803
2025,2026,2026-01-20,Oregon,oregon,2,18.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9925925925925926,1.9190236741078501
2025,2026,2026-01-20,Ohio St,ohiostate,3,17.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9851851851851852,1.8140070880469021
2025,2026,2026-01-20,Alabama,alabama,4,16.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9777777777777777,1.7509971364103334
2025,2026,2026-01-20,Miami,miami,5,16.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9703703703703703,1.7509971364103334
2025,2026,2026-01-20,Georgia,georgia,6,14.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.962962962962963,1.4674523540457742
2025,2026,2026-01-20,Texas,texas,7,13.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9555555555555556,1.4464490368335847
2025,2026,2026-01-20,Iowa,iowa,8,13.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9481481481481482,1.4359473782274899
2025,2026,2026-01-20,Texas A&M,texasaandm,9,13.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9407407407407408,1.425445719621395
2025,2026,2026-01-20,Florida,florida,10,13.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9333333333333333,1.4149440610153003
2025,2026,2026-01-20,Oklahoma,oklahoma,11,13.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9259259259259259,1.3939407438031108
2025,2026,2026-01-20,Penn St,pennstate,12,13.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9185185185185185,1.3834390851970157
2025,2026,2026-01-20,Texas Tech,texastech,13,13.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9111111111111111,1.372937426590921
2025,2026,2026-01-20,Notre Dame,notredame,14,12.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.9037037037037037,1.3519341093787316
2025,2026,2026-01-20,USC,southerncalifornia,15,12.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8962962962962963,1.2889241577421628
2025,2026,2026-01-20,Mississippi,olemiss,16,12.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8888888888888888,1.278422499136068
2025,2026,2026-01-20,Vanderbilt,vanderbilt,17,11.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8814814814814815,1.225914206105594
2025,2026,2026-01-20,Michigan,michigan,18,11.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8740740740740741,1.1944092302873097
2025,2026,2026-01-20,LSU,lsu,19,11.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8666666666666667,1.1944092302873097
2025,2026,2026-01-20,BYU,brighamyoung,20,11.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8592592592592593,1.1629042544690253
2025,2026,2026-01-20,Auburn,auburn,21,11.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8518518518518519,1.1524025958629307
2025,2026,2026-01-20,South Carolina,southcarolina,22,10.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8444444444444444,1.1313992786507412
2025,2026,2026-01-20,Arkansas,arkansas,23,10.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.837037037037037,1.120897620044646
2025,2026,2026-01-20,Wisconsin,wisconsin,24,10.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8296296296296296,1.1103959614385515
2025,2026,2026-01-20,Illinois,illinois,25,10.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8222222222222222,1.0788909856202673
2025,2026,2026-01-20,Missouri,missouri,26,10.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8148148148148149,1.0578876684080776
2025,2026,2026-01-20,Tennessee,tennessee,27,9.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8074074074074074,1.0263826925897932
2025,2026,2026-01-20,Utah,utah,28,9.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.8,1.0158810339836983
2025,2026,2026-01-20,Kentucky,kentucky,29,9.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7925925925925926,0.9948777167715088
2025,2026,2026-01-20,Washington,washington,30,9.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7851851851851852,0.9948777167715088
2025,2026,2026-01-20,UCLA,ucla,31,8.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7777777777777778,0.9213661065288454
2025,2026,2026-01-20,Florida St,floridastate,32,8.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7703703703703704,0.889861130710561
2025,2026,2026-01-20,Mississippi St,mississippistate,33,8.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.762962962962963,0.8478544962861818
2025,2026,2026-01-20,Nebraska,nebraska,34,7.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7555555555555555,0.8163495204678975
2025,2026,2026-01-20,Clemson,clemson,35,7.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7481481481481482,0.742837910225234
2025,2026,2026-01-20,TCU,texaschristian,36,7.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7407407407407407,0.7323362516191393
2025,2026,2026-01-20,Arizona St,arizonastate,37,7.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7333333333333334,0.7323362516191393
2025,2026,2026-01-20,NC State,ncstate,38,7.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7259259259259259,0.7323362516191393
2025,2026,2026-01-20,Rutgers,rutgers,39,6.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7185185185185186,0.7113329344069498
2025,2026,2026-01-20,Kansas St,kansasstate,40,6.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7111111111111111,0.7113329344069498
2025,2026,2026-01-20,Baylor,baylor,41,6.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.7037037037037037,0.6903296171947602
2025,2026,2026-01-20,Pittsburgh,pittsburgh,42,6.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6962962962962963,0.6693262999825706
2025,2026,2026-01-20,Michigan St,michiganstate,43,6.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6888888888888889,0.6588246413764758
2025,2026,2026-01-20,Louisville,louisville,44,6.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6814814814814815,0.6588246413764758
2025,2026,2026-01-20,SMU,southernmethodist,45,6.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.674074074074074,0.648322982770381
2025,2026,2026-01-20,Arizona,arizona,46,6.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6666666666666667,0.6378213241642862
2025,2026,2026-01-20,Kansas,kansas,47,6.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6592592592592592,0.6378213241642862
2025,2026,2026-01-20,Iowa St,iowastate,48,6.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6518518518518519,0.6273196655581914
2025,2026,2026-01-20,Virginia Tech,virginiatech,49,5.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6444444444444444,0.5958146897399071
2025,2026,2026-01-20,Purdue,purdue,50,5.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6370370370370371,0.5853130311338123
2025,2026,2026-01-20,Northwestern,northwestern,51,5.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6296296296296297,0.5748113725277175
2025,2026,2026-01-20,Georgia Tech,georgiatech,52,5.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6222222222222222,0.5748113725277175
2025,2026,2026-01-20,West Virginia,westvirginia,53,5.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6148148148148148,0.5328047381033384
2025,2026,2026-01-20,Cincinnati,cincinnati,54,5.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6074074074074074,0.5223030794972436
2025,2026,2026-01-20,Colorado,colorado,55,4.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.6,0.48029644507286445
2025,2026,2026-01-20,Duke,duke,56,4.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5925925925925926,0.45929312786067494
2025,2026,2026-01-20,Minnesota,minnesota,57,3.9,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2026-01-20,0.5851851851851853,0.4067848348302009
