college_season,final_teamrankings_snapshot,draft_year_if_final_college_season,teams,min_rating,max_rating
2007,2008-01-08,2008,120,-15.2,8.2
2008,2009-01-09,2009,120,-14.7,13.9
2009,2010-01-08,2010,120,-12.6,11.4
2010,2011-01-11,2011,120,-15.4,9.8
2011,2012-01-10,2012,120,-15.7,13.7
2012,2013-01-08,2013,124,-16.7,10.1
2013,2014-01-07,2014,125,-17.1,11.9
2014,2015-01-13,2015,128,-16.6,14.0
2015,2016-01-12,2016,128,-15.6,12.6
2016,2017-01-10,2017,128,-16.0,14.2
2017,2018-01-09,2018,130,-14.6,13.0
2018,2019-01-08,2019,130,-15.2,15.8
2019,2020-01-14,2020,130,-23.0,19.0
2020,2021-01-12,2021,127,-20.2,18.2
2021,2022-01-11,2022,130,-19.1,15.7
2022,2023-01-10,2023,131,-16.1,15.6
2023,2024-01-09,2024,133,-13.9,15.2
2024,2025-01-21,2025,134,-15.7,17.6
2025,2026-01-20,2026,136,-17.0,20.6
