college_season,draft_year_if_final_college_season,source_date,teamrankings_team,team_key,tr_sos_rank,tr_sos_rating,source_url,tr_sos_rank_pct,tr_sos_z
2007,2008,2008-01-08,Oklahoma,oklahoma,1,8.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,1.0,1.620105998274557
2007,2008,2008-01-08,Missouri,missouri,2,7.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9915966386554622,1.5406500885994932
2007,2008,2008-01-08,UCLA,ucla,3,7.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9831932773109243,1.5088677247294673
2007,2008,2008-01-08,West Virginia,westvirginia,4,7.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9747899159663865,1.4929765427944546
2007,2008,2008-01-08,Oregon St,oregonst,5,7.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9663865546218487,1.461194178924429
2007,2008,2008-01-08,Oregon,oregon,6,7.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.957983193277311,1.4294118150544033
2007,2008,2008-01-08,Washington,washington,7,6.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9495798319327731,1.3976294511843776
2007,2008,2008-01-08,USC,usc,8,6.8,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9411764705882353,1.3976294511843776
2007,2008,2008-01-08,LSU,lsu,9,6.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9327731092436975,1.349955905379339
2007,2008,2008-01-08,Florida,florida,10,6.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9243697478991597,1.3340647234443264
2007,2008,2008-01-08,Arizona,arizona,11,6.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.9159663865546218,1.270499995704275
2007,2008,2008-01-08,California,california,12,5.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.907563025210084,1.2228264498992367
2007,2008,2008-01-08,S Florida,sflorida,13,5.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8991596638655462,1.2069352679642238
2007,2008,2008-01-08,Auburn,auburn,14,5.5,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8907563025210083,1.191044086029211
2007,2008,2008-01-08,Tennessee,tennessee,15,5.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8823529411764706,1.1751529040941981
2007,2008,2008-01-08,Arizona St,arizonast,16,5.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8739495798319328,1.1751529040941981
2007,2008,2008-01-08,Georgia,georgia,17,5.1,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.865546218487395,1.1274793582891596
2007,2008,2008-01-08,Oklahoma St,oklahomast,18,5.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8571428571428572,1.1115881763541469
2007,2008,2008-01-08,South Carolina,southcarolina,19,4.7,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8487394957983193,1.0639146305491085
2007,2008,2008-01-08,Virginia Tech,virginiatech,20,4.6,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8403361344537815,1.0480234486140956
2007,2008,2008-01-08,Texas A&M,texasaandm,21,4.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8319327731092436,1.01624108474407
2007,2008,2008-01-08,Ohio St,ohiost,22,4.4,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8235294117647058,1.01624108474407
2007,2008,2008-01-08,Nebraska,nebraska,23,4.3,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8151260504201681,1.0003499028090572
2007,2008,2008-01-08,Kentucky,kentucky,24,4.2,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.8067226890756303,0.9844587208740444
2007,2008,2008-01-08,Louisville,louisville,25,4.0,https://www.teamrankings.com/college-football/ranking/schedule-strength-by-other?date=2008-01-08,0.7983193277310925,0.9526763570040186
