position,variant,split,removed_primary_scout_features,removed_secondary_scout_features,reg_n,reg_mae,reg_rmse,reg_r2,reg_pearson,reg_spearman,hit_n,hit_auc,hit_brier
WR,serialized_frozen_reference,validation_2019_2022,0,0,126,3.50851914176454,4.303094153990833,0.29447782492423846,0.5526889966648497,0.5796371136607961,126,0.7651143790849673,0.138649811886972
WR,serialized_frozen_reference,final_2023,0,0,14,3.3657352216213887,4.226563663484878,-0.06023151767766044,0.48476015489601193,0.6395604395604396,14,0.7500000000000001,0.15930272011725782
WR,snapshot_refit_with_scout,validation_2019_2022,0,0,126,3.51125725437334,4.306992584357675,0.2931988963847153,0.551846504687234,0.5769659887188753,126,0.7651143790849673,0.13864981183947817
WR,snapshot_refit_with_scout,final_2023,0,0,14,3.3743971317425805,4.225098569475156,-0.05949660878012408,0.48601544549464804,0.6483516483516484,14,0.7500000000000001,0.15930272063567247
WR,snapshot_refit_no_scout,validation_2019_2022,2,0,126,3.5118782426662962,4.3091164546620915,0.29250164698330405,0.5506752671033851,0.5737006135089765,126,0.7573529411764707,0.14130146892844264
WR,snapshot_refit_no_scout,final_2023,2,0,14,3.4335400685925634,4.393030863223312,-0.1453926429119652,0.46330104560264085,0.6043956043956044,14,0.7500000000000001,0.15969761632084034
TE,serialized_frozen_reference,validation_2019_2022,0,0,58,1.8848282880867915,2.437436285821945,0.3843896735602449,0.6365632524797639,0.5958266280135879,58,0.9099999999999999,0.07383164343959114
TE,serialized_frozen_reference,final_2023,0,0,9,2.8527351690004847,3.1909833494080897,0.14902503779811482,0.4461646998725983,0.5166666666666667,9,0.7777777777777778,0.1870307866444187
TE,snapshot_refit_with_scout,validation_2019_2022,0,0,58,1.884778011472579,2.4374628903473647,0.3843762347597671,0.6365942334108136,0.5958266280135879,58,0.9099999999999999,0.0738316436531602
TE,snapshot_refit_with_scout,final_2023,0,0,9,2.8490610575907693,3.1874107434706196,0.15092946409934982,0.447201252148465,0.5166666666666667,9,0.7777777777777778,0.18703078767313897
TE,snapshot_refit_no_scout,validation_2019_2022,0,2,58,1.877347633095041,2.4297790587478882,0.3882514883346597,0.6377028390979517,0.5941030735340816,58,0.9099999999999999,0.0738316436531602
TE,snapshot_refit_no_scout,final_2023,0,2,9,2.8319673581083866,3.1828193606398663,0.1533738306502841,0.44936151996775087,0.6,9,0.7777777777777778,0.18703078767313897
