season,pfr_name,draft_pick,primary_ppg,prospect_model_score,hit3,star3
2014,Blake Bortles,3,18.350625,12.868072597597552,1,1
2014,Johnny Manziel,22,3.340625,10.177201293951155,0,0
2014,Teddy Bridgewater,32,11.878125,10.019151896761969,0,0
2014,Derek Carr,36,16.8675,8.920533224410294,1,0
2014,Jimmy Garoppolo,62,1.505,4.2172590396971525,0,0
2014,Logan Thomas,120,0.22625,0.9292672378354516,0,0
2014,Tom Savage,135,0.56625,0.3425022379660242,0,0
2014,Aaron Murray,163,0.0,0.8207020153693183,0,0
2014,A.J. McCarron,164,1.7268750000000002,0.7670699042334886,0,0
2014,Zach Mettenberger,178,3.5337500000000004,1.4085510819766145,0,0
2014,David Fales,183,0.0275,1.0103190404327131,0,0
2014,Keith Wenning,194,0.0,0.4104283838945529,0,0
2014,Garrett Gilbert,214,0.0,0.5978025697464607,0,0
2015,Jameis Winston,1,16.59625,10.66995288944599,0,0
2015,Marcus Mariota,2,14.7175,13.746031261045,0,0
2015,Garrett Grayson,75,0.0,5.385957922471202,0,0
2015,Sean Mannion,89,0.20125,4.535826020945793,0,0
2015,Bryce Petty,103,1.7975,1.887741374379841,0,0
2015,Brett Hundley,147,3.88875,1.375493874168083,0,0
2015,Trevor Siemian,250,9.9325,0.9524493306852,0,0
2016,Jared Goff,1,17.674375,13.557322396220403,1,0
2016,Carson Wentz,2,15.49125,14.596803097150165,1,1
2016,Paxton Lynch,26,1.3493750000000002,9.615693525833873,0,0
2016,Christian Hackenberg,51,0.0,2.595504333931214,0,0
2016,Jacoby Brissett,91,7.319375000000001,3.9931115931849415,0,0
2016,Cody Kessler,93,3.614375,3.5716958960561334,0,0
2016,Connor Cook,100,0.1875,2.379237338669965,0,0
2016,Dak Prescott,135,17.899375,2.259478481295824,1,1
2016,Cardale Jones,139,0.054375,1.6682043799885495,0,0
2016,Kevin Hogan,162,1.57625,2.0213319781600703,0,0
2016,Nate Sudfeld,187,0.3824999999999999,0.7836198605775646,0,0
2016,Jake Rudock,191,0.0,1.151782299494187,0,0
2016,Brandon Allen,201,0.0,0.8324634126099156,0,0
2016,Jeff Driskel,207,2.66,1.04036248220947,0,0
2016,Brandon Doughty,223,0.0,2.1116528171737228,0,0
2017,Mitch Trubisky,2,14.5575,15.626610593823422,0,0
2017,Patrick Mahomes,10,22.003750000000004,11.955229972888546,1,1
2017,Deshaun Watson,12,20.39625,10.80961347507986,1,1
2017,DeShone Kizer,52,5.6575,2.7862870645173845,0,0
2017,Davis Webb,87,0.0,3.820314493466032,0,0
2017,C.J. Beathard,104,5.118125,3.215885075927968,0,0
2017,Joshua Dobbs,135,0.025625,2.087169617325266,0,0
2017,Nathan Peterman,171,0.6993750000000001,0.7303254119236765,0,0
2017,Brad Kaaya,215,0.0,1.1757481509173808,0,0
2017,Chad Kelly,253,0.0,1.880337532543651,0,0
2018,Baker Mayfield,1,15.2725,12.75726015734295,0,0
2018,Sam Darnold,3,11.164375,11.576546846100449,0,0
2018,Josh Allen,7,21.394375000000004,15.071535985368811,1,1
2018,Josh Rosen,10,4.090624999999999,14.221865678057496,0,0
2018,Lamar Jackson,32,23.389375,9.910239779390412,1,1
2018,Mason Rudolph,76,3.97375,2.1338808116533654,0,0
2018,Kyle Lauletta,108,0.0,1.8855640121292776,0,0
2018,Mike White,171,0.0,0.5766479421174061,0,0
2018,Luke Falk,199,0.27,1.3271216224454203,0,0
2018,Tanner Lee,203,0.0,0.7760292467281474,0,0
2018,Danny Etling,219,0.0,0.8793980884513477,0,0
2018,Alex McGough,220,0.0,0.8279884774452287,0,0
2018,Logan Woodside,249,0.04,1.1624416956332333,0,0
2019,Kyler Murray,1,20.750625,17.345372583380062,1,1
2019,Daniel Jones,6,12.343749999999998,13.54849356069914,0,0
2019,Dwayne Haskins,15,4.526875,9.839226741108918,0,0
2019,Drew Lock,42,7.79125,3.042679075947283,0,0
2019,Will Grier,100,0.04125,1.890333265481974,0,0
2019,Ryan Finley,104,1.369375,1.0387921991714566,0,0
2019,Jarrett Stidham,133,0.404375,3.85166359302172,0,0
2019,Easton Stick,166,0.0,1.447113587964734,0,0
2019,Clayton Thorson,167,0.0,0.6745192727243025,0,0
2019,Gardner Minshew,178,12.184375000000005,0.7287017071780739,0,0
2019,Trace McSorley,197,0.2937499999999999,1.0104992723630546,0,0
2020,Joe Burrow,1,19.55705882352941,15.893569007682084,1,1
2020,Tua Tagovailoa,5,12.112941176470589,16.02324038314265,0,0
2020,Justin Herbert,6,21.60007352941177,15.453865813222848,1,1
2020,Jordan Love,26,0.9658823529411764,9.396919365647731,0,0
2020,Jalen Hurts,53,20.3,6.2029971974949625,1,1
2020,Jacob Eason,122,0.0105882352941176,0.8511888013529232,0,0
2020,James Morgan,125,0.0,0.5684180606740734,0,0
2020,Jake Fromm,167,0.3205882352941177,1.2391188649240643,0,0
2020,Jake Luton,189,0.8831249999999999,0.5301240279480094,0,0
2020,Ben DiNucci,231,0.2175,0.5706075587137323,0,0
2020,Tommy Stevens,240,0.075,2.917169536684836,0,0
2020,Nate Stanley,244,0.0,0.6247711932944874,0,0
2021,Trevor Lawrence,1,16.416470588235295,18.09059644082,1,0
2021,Zach Wilson,2,7.994117647058823,15.089573318515932,0,0
2021,Trey Lance,3,2.2758823529411765,15.884434907495958,0,0
2021,Justin Fields,11,15.475294117647058,17.82503974269056,1,1
2021,Mac Jones,15,11.618235294117648,13.10390327758246,0,0
2021,Kyle Trask,64,0.0270588235294117,4.478410646513077,0,0
2021,Kellen Mond,66,0.0058823529411764,3.645331458839825,0,0
2021,Davis Mills,67,9.95529411764706,2.943938165003739,0,0
2021,Ian Book,133,0.0588235294117647,0.8135793785712848,0,0
2021,Sam Ehlinger,218,1.0741176470588234,0.8535529790363143,0,0
2022,Kenny Pickett,20,7.648823529411764,10.5969981645527,0,0
2022,Desmond Ridder,74,6.3488235294117645,4.469538658346083,0,0
2022,Malik Willis,86,2.0923529411764705,5.109003667928539,0,0
2022,Matt Corral,94,0.0,4.414914455253246,0,0
2022,Bailey Zappe,137,3.2005882352941177,0.899077447369099,0,0
