architecture,feature_set,model,score,n,mae,rmse,r2,pearson,spearman,yearly_spearman,ndcg,top5_actual,top5_regret
direct,capital_prod_context,extra,0.6861772455518365,69,1.2422425570178057,2.2707534387737303,0.8948778858028485,0.9579209004416611,0.9558559156640115,0.9429752301291572,0.9633532941456725,11.041083333333333,0.007312499999999833
direct,full_landing_scout,extra,0.6843100347973143,69,1.271581944539505,2.305681581812404,0.8916190916913036,0.9564161411061349,0.9496418535236372,0.9408108135282321,0.9705425515006579,11.041083333333333,0.007312499999999833
direct,full_landing_scout_classpct,extra,0.6843100347973143,69,1.271581944539505,2.305681581812404,0.8916190916913036,0.9564161411061349,0.9496418535236372,0.9408108135282321,0.9705425515006579,11.041083333333333,0.007312499999999833
direct,capital_production,extra,0.6779508940696709,69,1.2234871525038882,2.218697272761266,0.8996424097303583,0.9598702941474033,0.9472191090581935,0.9164540555671342,0.9630593553925094,11.023020833333334,0.025374999999999925
direct,full_landing_scout,xgb,0.6513615420146242,69,1.1712857850003935,2.0045454721241556,0.9180807531983243,0.9657273490662885,0.8882225071897585,0.8691823079255087,0.9731431777647126,11.039208333333335,0.009187500000000052
direct,full_landing_scout_classpct,xgb,0.6513615420146242,69,1.1712857850003935,2.0045454721241556,0.9180807531983243,0.9657273490662885,0.8882225071897585,0.8691823079255087,0.9731431777647126,11.039208333333335,0.009187500000000052
direct,capital_prod_context,xgb,0.6430017358324072,69,1.1736466574739073,1.9714621787944477,0.9207624524614799,0.9662518124925873,0.8784205639326204,0.8462164836690551,0.9728331446372941,11.025458333333333,0.022937499999999982
direct,capital_production,xgb,0.6244507079707222,69,1.168723416220451,2.020751770112192,0.9167508013986205,0.9622305314365189,0.8518998344406655,0.8000503604631244,0.9724120205708816,11.021145833333334,0.027250000000000146
residual,capital_production,xgbR,0.5984608590665336,69,1.7176237374550942,2.9191248960916436,0.8262761364195668,0.914846995851549,0.8297992265307034,0.8048964541693279,0.9496576853880928,10.918375,0.13002083333333303
residual,full_landing_scout,xgbR,0.5881690010235343,69,1.7250842684106988,2.9507121977864634,0.8224961285629905,0.9123341326603134,0.8307054439261745,0.7586516543107686,0.9510829842776243,10.825729166666667,0.22266666666666643
residual,full_landing_scout_classpct,xgbR,0.5881690010235343,69,1.7250842684106988,2.9507121977864634,0.8224961285629905,0.9123341326603134,0.8307054439261745,0.7586516543107686,0.9510829842776243,10.825729166666667,0.22266666666666643
residual,capital_prod_context,xgbR,0.587279486305755,69,1.730313570622184,2.948787046311974,0.8227276729096267,0.912431281588125,0.8226604527622969,0.7686410117787541,0.9513461654850298,10.825729166666667,0.22266666666666643
