architecture,feature_set,model,score,n,mae,rmse,r2,pearson,spearman,yearly_spearman,ndcg,top5_actual,top5_regret
direct,capital_production,extra,0.6530936189429112,141,1.61453791341022,2.722301566667275,0.7873949175055744,0.9004236360398616,0.9539939146411364,0.9334539455678984,0.933393271447844,13.639375000000001,0.5724583333333326
direct,capital_prod_context,extra,0.6488843033713925,141,1.6475174495437264,2.760364431828113,0.781408121745688,0.8961013311534761,0.9526699258443373,0.9353614802226627,0.9458022995262388,13.323541666666666,0.8882916666666659
direct,full_landing_scout_classpct,extra,0.6472793992233503,141,1.655491609512098,2.7590838114362506,0.7816108980737866,0.8953006216366276,0.9521129079039364,0.9333193654126238,0.9418767176900853,13.323541666666666,0.8882916666666659
direct,full_landing_scout,extra,0.6472793992233503,141,1.655491609512098,2.7590838114362506,0.7816108980737866,0.8953006216366276,0.9521129079039364,0.9333193654126238,0.9418767176900853,13.323541666666666,0.8882916666666659
direct,capital_production,xgb,0.6464269538006602,141,1.60429133246448,2.6770254471990116,0.7944080170780725,0.9034250795509791,0.9410882374373866,0.9222414476207419,0.9445851779004704,13.505416666666667,0.7064166666666658
direct,capital_prod_context,xgb,0.636421515163817,141,1.6692098932316966,2.7365917888155913,0.7851569964288844,0.8985861796824693,0.9315760849166943,0.90928103534244,0.9341704413725136,13.492187499999998,0.7196458333333332
residual,capital_production,xgbR,0.6362966628464075,141,1.6643267406813784,2.7107914093105987,0.7891889469820874,0.9039456675363386,0.9273170400493214,0.9159410103864903,0.9637274053276589,13.160000000000002,1.051833333333332
residual,full_landing_scout_classpct,xgbR,0.6352789440896321,141,1.7229571003741648,2.765893422512572,0.7805315687472902,0.8999976047307433,0.9202129189325162,0.9126196612806816,0.961004661893286,13.395937499999997,0.8158958333333324
residual,full_landing_scout,xgbR,0.6352789440896321,141,1.7229571003741648,2.765893422512572,0.7805315687472902,0.8999976047307433,0.9202129189325162,0.9126196612806816,0.961004661893286,13.395937499999997,0.8158958333333324
direct,full_landing_scout,xgb,0.634225937566931,141,1.6593559238335764,2.743328879631634,0.7840978698927397,0.8987201668367442,0.928075441398944,0.9061347062870048,0.9311278877393331,13.492187499999998,0.7196458333333332
direct,full_landing_scout_classpct,xgb,0.634225937566931,141,1.6593559238335764,2.743328879631634,0.7840978698927397,0.8987201668367442,0.928075441398944,0.9061347062870048,0.9311278877393331,13.492187499999998,0.7196458333333332
residual,capital_prod_context,xgbR,0.6328112502792375,141,1.73139573263929,2.768333319035041,0.7801441955815117,0.8988493596587825,0.9211684189379731,0.9094076607492007,0.9624233601308028,13.273541666666668,0.9382916666666654
hurdle,capital_production,xgbH,0.622021283846511,141,1.7844781239638832,2.8523273331321053,0.766600509513701,0.8943551072970263,0.9131687843631388,0.8883142092957951,0.9522392965073014,13.257291666666665,0.9545416666666654
direct,capital_production,ridge,0.6038229449425241,141,2.120995114743097,3.0710041996300435,0.7294409925948465,0.8633855100069091,0.9142249760732066,0.8947693415223084,0.9414356471282138,12.78385416666667,1.4279791666666644
residual,capital_production,ridgeR,0.6002649657498035,141,2.211686907509836,3.1849159699008545,0.7089972231009636,0.8553815698006763,0.9074207876935404,0.8962043182536167,0.943638913863833,12.814645833333332,1.3971874999999987
hurdle,capital_prod_context,xgbH,0.595976119843608,141,1.9910855882286707,3.0208595331089065,0.7382044625869298,0.8791584939023354,0.8879701496900799,0.8571485724395672,0.9234179835812708,13.278229166666668,0.9336041666666658
hurdle,full_landing_scout_classpct,xgbH,0.5891465157472136,141,2.0169613774170614,3.064712560494792,0.7305484582959636,0.8767504543149125,0.8786229601748142,0.8533502512349286,0.9298893260363778,13.090833333333334,1.1209999999999996
hurdle,full_landing_scout,xgbH,0.5891465157472136,141,2.0169613774170614,3.064712560494792,0.7305484582959636,0.8767504543149125,0.8786229601748142,0.8533502512349286,0.9298893260363778,13.090833333333334,1.1209999999999996
