architecture,feature_set,model,score,n,mae,rmse,r2,pearson,spearman,yearly_spearman,ndcg,top5_actual,top5_regret
direct,capital_production,extra,0.6608632501808582,86,1.1469645911053945,1.5552121804609205,0.7956434084403198,0.9002124653697555,0.9321155334441024,0.9467722623032012,0.9926685026770313,7.145729166666668,0.2005208333333329
direct,capital_prod_context,extra,0.6596172767452876,86,1.1472018270018023,1.5784007987143176,0.7895039568278615,0.8979587197170249,0.9336454960206544,0.9333539561451957,0.981819369100255,7.256875,0.08937499999999998
direct,full_landing_scout_classpct,extra,0.657704284826612,86,1.1315204395443792,1.5591252375225109,0.7946137547099924,0.9006089985513434,0.9270345466158004,0.9243664190246171,0.9819102122938775,7.311979166666667,0.034270833333333396
direct,full_landing_scout,extra,0.657704284826612,86,1.1315204395443792,1.5591252375225106,0.7946137547099924,0.9006089985513432,0.9270345466158004,0.9243664190246171,0.9819102122938775,7.311979166666667,0.034270833333333396
direct,capital_production,xgb,0.6575525320006677,86,1.088684674196465,1.507267786455182,0.8080490846754833,0.9041715523665749,0.923256861241598,0.9299231537887872,0.9732974121827551,7.311979166666667,0.034270833333333396
direct,capital_prod_context,xgb,0.6572789082793705,86,1.0699533868234519,1.4706727762951515,0.8172567017570099,0.9086775349331949,0.9189125230612656,0.9302093332271483,0.9753502928322858,7.311979166666667,0.034270833333333396
direct,full_landing_scout,xgb,0.6549353069025464,86,1.0522714308528016,1.461443506833368,0.8195431315384045,0.9092120581971046,0.9165325812755182,0.9235189864892582,0.9708103397070006,7.311979166666667,0.034270833333333396
direct,full_landing_scout_classpct,xgb,0.6549353069025464,86,1.0522714308528016,1.461443506833368,0.8195431315384045,0.9092120581971046,0.9165325812755182,0.9235189864892582,0.9708103397070006,7.311979166666667,0.034270833333333396
residual,capital_production,xgbR,0.627992343517805,86,1.2841290523610516,1.8763440526696857,0.7025360760543129,0.8513234531727485,0.903178463477713,0.901648764930337,0.9459736424427567,7.193541666666667,0.152708333333333
residual,capital_prod_context,xgbR,0.6092745248737542,86,1.385366206138514,2.0295307496540826,0.6519828677349722,0.8284601367559605,0.8881999409690011,0.8824980568653391,0.9378356287270933,7.0562499999999995,0.29000000000000004
direct,capital_production,ridge,0.6082472239950856,86,1.3707832377254443,1.8655454384152244,0.7059501139509379,0.8467653359914249,0.8686693075843753,0.8912599820296608,0.9552130677957934,7.0553125,0.2909374999999999
residual,full_landing_scout,xgbR,0.6081924509791451,86,1.3858975344842266,2.0180396669170175,0.6559126158759047,0.829853344421202,0.884648916717251,0.8823897561757011,0.9388583489757713,7.0562499999999995,0.29000000000000004
residual,full_landing_scout_classpct,xgbR,0.6081924509791451,86,1.3858975344842266,2.0180396669170175,0.6559126158759047,0.829853344421202,0.884648916717251,0.8823897561757011,0.9388583489757713,7.0562499999999995,0.29000000000000004
hurdle,capital_prod_context,xgbH,0.5958344040110803,86,1.2279828792930907,1.6223392188233619,0.7776215562496842,0.8900114387455837,0.8586962181964815,0.8209081241888468,0.9627667230253381,6.972291666666667,0.3739583333333334
hurdle,capital_production,xgbH,0.5928664720872423,86,1.2241116198482054,1.6431587554368032,0.7718773525777216,0.8885928511317898,0.8470987240976805,0.8102001630026812,0.9667164842876524,7.054583333333334,0.29166666666666635
residual,capital_production,ridgeR,0.592542390103917,86,1.4218240199413639,1.9833575566791608,0.6676379852634355,0.8277531450133989,0.8675360019721148,0.8850732866436063,0.9327912581163144,6.786145833333333,0.5601041666666667
hurdle,full_landing_scout_classpct,xgbH,0.5839711850541726,86,1.2772518858039392,1.6887178906024425,0.7590518693120824,0.8772154126151834,0.8403177788509874,0.80681246131853,0.958857104121409,6.980208333333334,0.36604166666666665
hurdle,full_landing_scout,xgbH,0.5839711850541726,86,1.2772518858039392,1.6887178906024425,0.7590518693120824,0.8772154126151834,0.8403177788509874,0.80681246131853,0.958857104121409,6.980208333333334,0.36604166666666665
direct,capital_prod_context,ridge,0.5511489330300201,86,1.7094875090367414,2.3108693507845444,0.5488093017967051,0.7722705333425728,0.8077730193522349,0.8269573928786401,0.9186703828130941,7.000208333333334,0.3460416666666665
residual,capital_prod_context,ridgeR,0.5379309990312253,86,1.8651349090424127,2.4794851486329565,0.48056360568557654,0.7514011521461783,0.8032209084763212,0.8329792912503464,0.9165719364511474,6.786145833333333,0.5601041666666667
direct,full_landing_scout,ridge,0.5243073995390274,86,1.7861543072806583,2.498303813188289,0.47264890248021063,0.74025899097005,0.7803281351086554,0.7927018792052486,0.923272279429916,6.7075,0.6387499999999999
direct,full_landing_scout_classpct,ridge,0.5243073995390274,86,1.7861543072806583,2.498303813188289,0.47264890248021063,0.74025899097005,0.7803281351086554,0.7927018792052486,0.923272279429916,6.7075,0.6387499999999999
residual,full_landing_scout_classpct,ridgeR,0.5105398530999063,86,1.9327397689914927,2.644797726801833,0.4089907496406042,0.7264935794593141,0.7826514116137899,0.8140196833144033,0.9204800366846588,6.267916666666667,1.0783333333333336
residual,full_landing_scout,ridgeR,0.5105398530999063,86,1.9327397689914927,2.644797726801833,0.4089907496406042,0.7264935794593141,0.7826514116137899,0.8140196833144033,0.9204800366846588,6.267916666666667,1.0783333333333336
hurdle,capital_production,ridgeH,0.5023841463503401,86,1.755144167645884,2.637793780790884,0.41211682304116803,0.668522326516693,0.7655007200149117,0.7778795526012576,0.8890355912919069,6.411354166666666,0.9348958333333336
hurdle,full_landing_scout,ridgeH,-23108817.84093805,86,555599501.5281907,5152417795.819947,-2.243011476298858e+18,-0.00997161837130993,0.7213962432711001,0.7063724399491608,0.8846992352755433,5.725625,1.6206250000000002
hurdle,full_landing_scout_classpct,ridgeH,-23108817.84093805,86,555599501.5281907,5152417795.819947,-2.243011476298858e+18,-0.00997161837130993,0.7213962432711001,0.7063724399491608,0.8846992352755433,5.725625,1.6206250000000002
hurdle,capital_prod_context,ridgeH,-50608124.583622366,86,1216758409.8755045,11283753277.31522,-1.075762783852843e+19,-0.009971618593019947,0.7189974130584815,0.7424214456573028,0.9084922869376154,5.708541666666666,1.6377083333333335
