n,mae,rmse,pearson,spearman,season,position
11,3.1447207934260892,4.405829243601191,0.7591372261009292,0.5922566618516668,2019,QB
12,3.5623862559189807,5.376540927995804,0.7973485377171994,0.7075317330217298,2020,QB
10,4.229102508581258,5.735040935783999,0.71540209915556,0.6606060606060605,2021,QB
9,4.393870046121906,5.803918459628917,0.02908720460857031,-0.00836827408755723,2022,QB
25,2.402192234064879,3.006344027481474,0.8150891885724119,0.6874520897676935,2019,RB
18,2.96058607550333,3.6982618312640816,0.749468718620464,0.8142414860681115,2020,RB
20,2.6010901349288154,3.3247465623554735,0.7816828368131439,0.8266266097929232,2021,RB
23,3.723311913888701,4.532061354746696,0.6428804576565915,0.6439337977654885,2022,RB
28,4.35107546652982,5.331668958076898,0.3779391386822871,0.39791587812509893,2019,WR
35,3.2623624476123783,4.075164810940909,0.6154987753164674,0.5627450980392157,2020,WR
35,3.324364686087314,3.97550431618374,0.6613305682063331,0.7388929634879862,2021,WR
28,3.2038517542859934,3.792570296984137,0.5803506318643247,0.6128149878436929,2022,WR
16,1.827529414982868,2.445664808705145,0.6971176471758271,0.6357617615216811,2019,TE
12,1.9234670627407924,2.4597173792607543,0.6040069595972403,0.4685314685314686,2020,TE
11,1.5632749774593562,1.933340732918382,0.7831895573058801,0.7000000000000001,2021,TE
19,2.094838977071874,2.6671958518635197,0.672877122544173,0.6555370404983101,2022,TE
