position  season
QB        2014      13
          2015       7
          2016      15
          2017      10
          2018      13
          2019      11
          2020      12
          2021      10
          2022       9
          2023       5
RB        2014      21
          2015      22
          2016      23
          2017      30
          2018      20
          2019      25
          2020      18
          2021      20
          2022      23
          2023       7
TE        2014      10
          2015      20
          2016      11
          2017      14
          2018      15
          2019      16
          2020      12
          2021      11
          2022      19
          2023       9
WR        2014      33
          2015      33
          2016      31
          2017      32
          2018      34
          2019      28
          2020      35
          2021      35
          2022      28
          2023      14
rows 754
